itinerary_id,cabin_class,one_way_price_candollar,flight_number,origin_airport,destination_airport,departure_date_time,arrival_date_time,stop_count,marketing_airline,operating_airline,is_self_transfer,duration_in_hours
18467-2504031400--31722-0-10968-2504031634,first,596,8130,YYZ,DFW,2025-04-03 14:00:00,2025-04-03 16:34:00,0,United Airlines,Air Canada,True,3.57
18467-2504031940--31722-0-10968-2504032214,first,596,8019,YYZ,DFW,2025-04-03 19:40:00,2025-04-03 22:14:00,0,United Airlines,Air Canada,True,3.57
18467-2504030615--32573-1-10968-2504031047,first,549,3524,YYZ,ORD,2025-04-03 06:15:00,2025-04-03 07:30:00,1,American Airlines,Envoy Air,True,2.25
18467-2504030615--32573-1-10968-2504031047,first,549,481,ORD,DFW,2025-04-03 08:05:00,2025-04-03 10:47:00,1,American Airlines,American Airlines,True,2.7
18467-2504040745--31679-1-10968-2504041243,economy,486,6340,YYZ,ATL,2025-04-04 07:45:00,2025-04-04 10:08:00,1,Westjet,Delta Air Lines,True,2.38
18467-2504040745--31679-1-10968-2504041243,economy,486,6482,ATL,DFW,2025-04-04 11:22:00,2025-04-04 12:43:00,1,Westjet,Delta Air Lines,True,2.35
18467-2504040615--31679-1-10910-2504041126,economy,489,8135,YYZ,ATL,2025-04-04 06:15:00,2025-04-04 08:44:00,1,Westjet,Delta Air Lines,True,2.48
18467-2504041815--31679-1-10968-2504042357,economy,457,6768,YYZ,ATL,2025-04-04 18:15:00,2025-04-04 20:39:00,1,Westjet,Delta Air Lines,True,2.4
18467-2504041815--31679-1-10968-2504042357,economy,457,6499,ATL,DFW,2025-04-04 22:34:00,2025-04-04 23:57:00,1,Westjet,Delta Air Lines,True,2.38
18467-2504040745--31679-1-10910-2504041513,economy,460,6340,YYZ,ATL,2025-04-04 07:45:00,2025-04-04 10:08:00,1,Westjet,Delta Air Lines,True,2.38
18467-2504040615--31679-1-10910-2504041513,economy,460,8135,YYZ,ATL,2025-04-04 06:15:00,2025-04-04 08:44:00,1,Westjet,Delta Air Lines,True,2.48
18467-2504040615--32385-1-10910-2504041126,premium_economy,581,2662,YYZ,ATL,2025-04-04 06:15:00,2025-04-04 08:44:00,1,Delta Air Lines,Delta Air Lines,True,2.48
18467-2504041815--32385-1-10968-2504042357,premium_economy,581,2714,YYZ,ATL,2025-04-04 18:15:00,2025-04-04 20:39:00,1,Delta Air Lines,Delta Air Lines,True,2.4
18467-2504041815--32385-1-10968-2504042357,premium_economy,581,818,ATL,DFW,2025-04-04 22:34:00,2025-04-04 23:57:00,1,Delta Air Lines,Delta Air Lines,True,2.38
18467-2504041720--32573-0-10968-2504042000,business,527,1111,YYZ,DFW,2025-04-04 17:20:00,2025-04-04 20:00:00,0,American Airlines,American Airlines,True,3.67
18467-2504040645--32573-0-10968-2504040929,business,649,1169,YYZ,DFW,2025-04-04 06:45:00,2025-04-04 09:29:00,0,American Airlines,American Airlines,True,3.73
18467-2504041329--32573-0-10968-2504041614,business,593,3993,YYZ,DFW,2025-04-04 13:29:00,2025-04-04 16:14:00,0,American Airlines,Envoy Air,True,3.75
18467-2504041514--32573-1-10968-2504041916,first,1173,3608,YYZ,ORD,2025-04-04 15:14:00,2025-04-04 16:09:00,1,American Airlines,Envoy Air,True,1.92
18467-2504041514--32573-1-10968-2504041916,first,1173,2499,ORD,DFW,2025-04-04 16:45:00,2025-04-04 19:16:00,1,American Airlines,American Airlines,True,2.52
18467-2504040630--32573-1-10968-2504041056,first,809,3524,YYZ,ORD,2025-04-04 06:30:00,2025-04-04 07:25:00,1,American Airlines,Envoy Air,True,1.92
18467-2504040630--32573-1-10968-2504041056,first,809,481,ORD,DFW,2025-04-04 08:15:00,2025-04-04 10:56:00,1,American Airlines,American Airlines,True,2.68
18467-2504041315--32573-1-10968-2504041756,first,809,3606,YYZ,ORD,2025-04-04 13:15:00,2025-04-04 14:10:00,1,American Airlines,Envoy Air,True,1.92
18467-2504041315--32573-1-10968-2504041756,first,809,2257,ORD,DFW,2025-04-04 15:18:00,2025-04-04 17:56:00,1,American Airlines,American Airlines,True,2.63
18467-2504051220--31679-1-10968-2504051646,economy,457,7789,YYZ,ATL,2025-04-05 12:20:00,2025-04-05 14:37:00,1,Westjet,Delta Air Lines,True,2.28
18467-2504051220--31679-1-10968-2504051646,economy,457,6498,ATL,DFW,2025-04-05 15:25:00,2025-04-05 16:46:00,1,Westjet,Delta Air Lines,True,2.35
18467-2504050745--31679-1-10968-2504051243,economy,457,6340,YYZ,ATL,2025-04-05 07:45:00,2025-04-05 10:08:00,1,Westjet,Delta Air Lines,True,2.38
18467-2504050745--31679-1-10968-2504051243,economy,457,6482,ATL,DFW,2025-04-05 11:22:00,2025-04-05 12:43:00,1,Westjet,Delta Air Lines,True,2.35
18467-2504051815--31679-1-10968-2504052357,economy,457,6768,YYZ,ATL,2025-04-05 18:15:00,2025-04-05 20:39:00,1,Westjet,Delta Air Lines,True,2.4
18467-2504051815--31679-1-10968-2504052357,economy,457,6499,ATL,DFW,2025-04-05 22:34:00,2025-04-05 23:57:00,1,Westjet,Delta Air Lines,True,2.38
18467-2504050615--31679-1-10968-2504051243,economy,457,8135,YYZ,ATL,2025-04-05 06:15:00,2025-04-05 08:46:00,1,Westjet,Delta Air Lines,True,2.52
18467-2504050615--31679-1-10968-2504051243,economy,457,6482,ATL,DFW,2025-04-05 11:22:00,2025-04-05 12:43:00,1,Westjet,Delta Air Lines,True,2.35
18467-2504051220--32385-1-10968-2504051646,premium_economy,608,2835,YYZ,ATL,2025-04-05 12:20:00,2025-04-05 14:37:00,1,Delta Air Lines,Delta Air Lines,True,2.28
18467-2504051220--32385-1-10968-2504051646,premium_economy,608,374,ATL,DFW,2025-04-05 15:25:00,2025-04-05 16:46:00,1,Delta Air Lines,Delta Air Lines,True,2.35
18467-2504050615--32385-1-10910-2504051105,premium_economy,581,2662,YYZ,ATL,2025-04-05 06:15:00,2025-04-05 08:46:00,1,Delta Air Lines,Delta Air Lines,True,2.52
18467-2504050745--32385-1-10968-2504051243,premium_economy,581,2988,YYZ,ATL,2025-04-05 07:45:00,2025-04-05 10:08:00,1,Delta Air Lines,Delta Air Lines,True,2.38
18467-2504050745--32385-1-10968-2504051243,premium_economy,581,414,ATL,DFW,2025-04-05 11:22:00,2025-04-05 12:43:00,1,Delta Air Lines,Delta Air Lines,True,2.35
18467-2504051220--32385-1-10910-2504051751,premium_economy,608,2835,YYZ,ATL,2025-04-05 12:20:00,2025-04-05 14:37:00,1,Delta Air Lines,Delta Air Lines,True,2.28
