itinerary_id,cabin_class,stop_count,duration_in_hours,one_way_price_candollar,marketing_airline,operating_airline
18467-2504080645--32573-0-10968-2504080929,economy,0,3.73,398,American Airlines,American Airlines
18467-2504081329--32573-0-10968-2504081614,economy,0,3.75,398,American Airlines,Envoy Air
18467-2504081329--32593-0-10968-2504081614,economy,0,3.75,405,Alaska Airlines,Envoy Air
"18188-2504081235--31147,-31825-2-10968-2504082254",economy,2,2.65,157,Spirit Airlines,Spirit Airlines
18467-2504080615--32385-1-10910-2504081105,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504080745--32385-1-10968-2504081243,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504080745--32385-1-10968-2504081243,premium_economy,1,2.35,581,Delta Air Lines,Delta Air Lines
18467-2504081220--32385-1-10910-2504081751,premium_economy,1,2.28,581,Delta Air Lines,Delta Air Lines
18467-2504081940--32695-0-10968-2504082214,business,0,3.57,831,Air Canada,Air Canada
18467-2504081400--32695-0-10968-2504081634,business,0,3.57,1088,Air Canada,Air Canada
18467-2504081720--32573-0-10968-2504082000,business,0,3.67,527,American Airlines,American Airlines
18467-2504080645--32573-0-10968-2504080929,business,0,3.73,649,American Airlines,American Airlines
18467-2504081329--32573-0-10968-2504081614,business,0,3.75,788,American Airlines,Envoy Air
18467-2504081100--32695-1-10968-2504081602,business,1,2.05,620,Air Canada,SkyWest Airlines
18467-2504081100--32695-1-10968-2504081602,business,1,2.78,620,Air Canada,United Airlines
18467-2504081730--32695-1-10968-2504082250,business,1,2.0,853,Air Canada,United Airlines
18467-2504081730--32695-1-10968-2504082250,business,1,2.85,853,Air Canada,United Airlines
18467-2504081700--32695-1-10968-2504082245,business,1,1.35,839,Air Canada,Air Canada
18467-2504081700--32695-1-10968-2504082245,business,1,4.25,839,Air Canada,Jazz Aviation
18467-2504080900--32695-1-10968-2504081602,business,1,2.02,620,Air Canada,United Airlines
18467-2504080900--32695-1-10968-2504081602,business,1,2.78,620,Air Canada,United Airlines
18467-2504081618--32695-1-10968-2504082344,business,1,3.9,620,Air Canada,United Airlines
18467-2504081618--32695-1-10968-2504082344,business,1,2.0,620,Air Canada,United Airlines
18467-2504081514--32573-1-10968-2504081916,first,1,1.92,670,American Airlines,Envoy Air
18467-2504081514--32573-1-10968-2504081916,first,1,2.52,670,American Airlines,American Airlines
18467-2504081820--32573-1-10968-2504082326,first,1,1.92,549,American Airlines,Envoy Air
18467-2504081820--32573-1-10968-2504082326,first,1,2.85,549,American Airlines,American Airlines
18467-2504090615--31679-1-10910-2504091105,economy,1,2.48,506,Westjet,Delta Air Lines
18467-2504090745--31679-1-10968-2504091243,economy,1,2.38,457,Westjet,Delta Air Lines
18467-2504090745--31679-1-10968-2504091243,economy,1,2.35,457,Westjet,Delta Air Lines
18467-2504091220--31679-1-10910-2504091751,economy,1,2.28,460,Westjet,Delta Air Lines
18467-2504091815--31679-1-10968-2504092357,economy,1,2.4,457,Westjet,Delta Air Lines
18467-2504091815--31679-1-10968-2504092357,economy,1,2.38,457,Westjet,Delta Air Lines
18467-2504090615--32385-1-10910-2504091105,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504090745--32385-1-10968-2504091243,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504090745--32385-1-10968-2504091243,premium_economy,1,2.35,581,Delta Air Lines,Delta Air Lines
18467-2504091220--32385-1-10910-2504091751,premium_economy,1,2.28,581,Delta Air Lines,Delta Air Lines
18467-2504091815--32385-1-10968-2504092357,premium_economy,1,2.4,581,Delta Air Lines,Delta Air Lines
18467-2504091815--32385-1-10968-2504092357,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504091720--32573-0-10968-2504092000,business,0,3.67,527,American Airlines,American Airlines
18467-2504090645--32573-0-10968-2504090929,business,0,3.73,649,American Airlines,American Airlines
18467-2504091329--32573-0-10968-2504091614,business,0,3.75,527,American Airlines,Envoy Air
18467-2504091940--31722-0-10968-2504092214,first,0,3.57,596,United Airlines,Air Canada
18467-2504091400--31722-0-10968-2504091634,first,0,3.57,827,United Airlines,Air Canada
18467-2504091820--32573-1-10968-2504092326,first,1,1.92,549,American Airlines,Envoy Air
18467-2504091820--32573-1-10968-2504092326,first,1,2.85,549,American Airlines,American Airlines
18467-2504091514--32573-1-10968-2504092131,first,1,1.92,549,American Airlines,Envoy Air
18467-2504091514--32573-1-10968-2504092131,first,1,2.77,549,American Airlines,American Airlines
18467-2504090630--32573-1-10968-2504091256,first,1,1.92,549,American Airlines,Envoy Air
18467-2504090630--32573-1-10968-2504091256,first,1,2.68,549,American Airlines,American Airlines
"18390-2504100700--31954,-31825-2-10968-2504101642",economy,2,0.98,346,Porter Airlines,Porter Airlines Inc
"18390-2504100745--31954,-31825-2-10968-2504102316",economy,2,2.52,365,Spirit Airlines,Spirit Airlines
"18390-2504100645--31954,-31825-2-10968-2504102316",economy,2,2.52,365,Spirit Airlines,Spirit Airlines
18467-2504100745--32385-1-10968-2504101243,premium_economy,1,2.38,608,Delta Air Lines,Delta Air Lines
18467-2504100745--32385-1-10968-2504101243,premium_economy,1,2.35,608,Delta Air Lines,Delta Air Lines
18467-2504100615--32385-1-10910-2504101126,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504101720--32573-0-10968-2504102000,business,0,3.67,527,American Airlines,American Airlines
18467-2504100645--32573-0-10968-2504100929,business,0,3.73,649,American Airlines,American Airlines
18467-2504101329--32573-0-10968-2504101614,business,0,3.75,649,American Airlines,Envoy Air
18467-2504101940--31722-0-10968-2504102214,first,0,3.57,596,United Airlines,Air Canada
18467-2504101400--31722-0-10968-2504101634,first,0,3.57,827,United Airlines,Air Canada
18467-2504100630--32573-1-10968-2504101056,first,1,1.92,549,American Airlines,Envoy Air
18467-2504100630--32573-1-10968-2504101056,first,1,2.68,549,American Airlines,American Airlines
18467-2504100900--31722-1-10968-2504101332,first,1,2.02,825,United Airlines,United Airlines
18467-2504100900--31722-1-10968-2504101332,first,1,2.78,825,United Airlines,United Airlines
18467-2504101100--31722-1-10968-2504101602,first,1,2.05,618,United Airlines,SkyWest Airlines
18467-2504101100--31722-1-10968-2504101602,first,1,2.78,618,United Airlines,United Airlines
18467-2504110615--31679-1-10910-2504111126,economy,1,2.48,551,Westjet,Delta Air Lines
18467-2504111220--31679-1-10910-2504111751,economy,1,2.28,614,Westjet,Delta Air Lines
18467-2504110745--31679-1-10910-2504111513,economy,1,2.38,551,Westjet,Delta Air Lines
18467-2504110745--31679-1-10910-2504111751,economy,1,2.38,477,Westjet,Delta Air Lines
18467-2504110615--31679-1-10910-2504111751,economy,1,2.48,477,Westjet,Delta Air Lines
18467-2504110745--31679-1-10910-2504112143,economy,1,2.38,450,Westjet,Delta Air Lines
18467-2504112315--31679-2-10910-2504121412,economy,2,1.4,990,Westjet,Westjet
18467-2504112315--31679-2-10910-2504121412,economy,2,2.97,990,Westjet,Delta Air Lines
18467-2504111815--31679-1-10910-2504121105,economy,1,2.4,450,Westjet,Delta Air Lines
18467-2504110615--32385-1-10910-2504111126,premium_economy,1,2.48,608,Delta Air Lines,Delta Air Lines
18467-2504110745--32385-1-10910-2504111513,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504111720--32573-0-10968-2504112000,business,0,3.67,527,American Airlines,American Airlines
18467-2504110645--32573-0-10968-2504110929,business,0,3.73,527,American Airlines,American Airlines
18467-2504111329--32573-0-10968-2504111614,business,0,3.75,1161,American Airlines,Envoy Air
18467-2504111940--31722-0-10968-2504112214,first,0,3.57,596,United Airlines,Air Canada
18467-2504111400--31722-0-10968-2504111634,first,0,3.57,827,United Airlines,Air Canada
18467-2504110630--32573-1-10968-2504111056,first,1,1.92,809,American Airlines,Envoy Air
18467-2504110630--32573-1-10968-2504111056,first,1,2.68,809,American Airlines,American Airlines
18467-2504111820--32573-1-10968-2504112326,first,1,1.92,549,American Airlines,Envoy Air
18467-2504111820--32573-1-10968-2504112326,first,1,2.85,549,American Airlines,American Airlines
18467-2504110615--32385-1-10910-2504111126,first,1,2.48,797,Delta Air Lines,Delta Air Lines
18467-2504111514--32573-1-10968-2504112326,first,1,1.92,549,American Airlines,Envoy Air
18467-2504111514--32573-1-10968-2504112326,first,1,2.85,549,American Airlines,American Airlines
18467-2504121400--32695-0-10968-2504121634,economy,0,3.57,435,Air Canada,Air Canada
18467-2504121940--32695-0-10968-2504122214,economy,0,3.57,398,Air Canada,Air Canada
18467-2504121329--32593-0-10968-2504121614,economy,0,3.75,440,Alaska Airlines,Envoy Air
18467-2504121220--31679-1-10968-2504121646,economy,1,2.28,447,Westjet,Delta Air Lines
18467-2504121220--31679-1-10968-2504121646,economy,1,2.35,447,Westjet,Delta Air Lines
18467-2504120615--31679-1-10910-2504121105,economy,1,2.52,444,Westjet,Delta Air Lines
18467-2504120745--31679-1-10968-2504121243,economy,1,2.38,460,Westjet,Delta Air Lines
18467-2504120745--31679-1-10968-2504121243,economy,1,2.35,460,Westjet,Delta Air Lines
18467-2504120700--32695-1-10968-2504121217,economy,1,2.05,420,Air Canada,Republic Airline United Express
18467-2504120700--32695-1-10968-2504121217,economy,1,2.78,420,Air Canada,United Airlines
18467-2504120800--32695-1-10968-2504121322,economy,1,1.92,420,Air Canada,Jazz Aviation
18467-2504120800--32695-1-10968-2504121322,economy,1,2.78,420,Air Canada,United Airlines
18467-2504121220--32385-1-10968-2504121646,premium_economy,1,2.28,581,Delta Air Lines,Delta Air Lines
18467-2504121220--32385-1-10968-2504121646,premium_economy,1,2.35,581,Delta Air Lines,Delta Air Lines
18467-2504120615--32385-1-10910-2504121105,premium_economy,1,2.52,608,Delta Air Lines,Delta Air Lines
18467-2504121220--32385-1-10910-2504121751,premium_economy,1,2.28,581,Delta Air Lines,Delta Air Lines
18467-2504121940--32695-0-10968-2504122214,business,0,3.57,598,Air Canada,Air Canada
18467-2504121400--32695-0-10968-2504121634,business,0,3.57,1088,Air Canada,Air Canada
18467-2504121720--32573-0-10968-2504122000,business,0,3.67,527,American Airlines,American Airlines
18467-2504120645--32573-0-10968-2504120929,business,0,3.73,732,American Airlines,American Airlines
18467-2504121329--32573-0-10968-2504121614,business,0,3.75,649,American Airlines,Envoy Air
18467-2504120700--32695-1-10968-2504121217,business,1,2.05,853,Air Canada,Republic Airline United Express
18467-2504120700--32695-1-10968-2504121217,business,1,2.78,853,Air Canada,United Airlines
18467-2504120800--32695-1-10968-2504121322,business,1,1.92,620,Air Canada,Jazz Aviation
18467-2504120800--32695-1-10968-2504121322,business,1,2.78,620,Air Canada,United Airlines
18467-2504121700--32695-1-10968-2504122245,business,1,1.35,606,Air Canada,Air Canada
18467-2504121700--32695-1-10968-2504122245,business,1,4.25,606,Air Canada,Jazz Aviation
18467-2504121730--32695-1-10968-2504122321,business,1,2.0,853,Air Canada,United Airlines
18467-2504121730--32695-1-10968-2504122321,business,1,2.85,853,Air Canada,United Airlines
18467-2504121618--32695-1-10968-2504122344,business,1,3.9,620,Air Canada,United Airlines
18467-2504121618--32695-1-10968-2504122344,business,1,2.0,620,Air Canada,United Airlines
18467-2504121940--31722-0-10968-2504122214,first,0,3.57,596,United Airlines,Air Canada
18467-2504121400--31722-0-10968-2504121634,first,0,3.57,1049,United Airlines,Air Canada
18467-2504121514--32573-1-10968-2504121916,first,1,1.92,670,American Airlines,Envoy Air
18467-2504121514--32573-1-10968-2504121916,first,1,2.52,670,American Airlines,American Airlines
18467-2504120630--32573-1-10968-2504121056,first,1,1.92,809,American Airlines,Envoy Air
18467-2504120630--32573-1-10968-2504121056,first,1,2.68,809,American Airlines,American Airlines
18467-2504120800--31722-1-10968-2504121322,first,1,1.92,618,United Airlines,Jazz Aviation
18467-2504120800--31722-1-10968-2504121322,first,1,2.78,618,United Airlines,United Airlines
"18390-2504130700--31954,-31825-2-10968-2504131642",economy,2,0.98,471,Porter Airlines,Porter Airlines Inc
"18390-2504130700--31954,-31825-3-10968-2504140122",economy,3,0.98,439,Porter Airlines,Porter Airlines Inc
18467-2504130615--32385-1-10910-2504131126,premium_economy,1,2.48,645,Delta Air Lines,Delta Air Lines
18467-2504131220--32385-1-10910-2504131751,premium_economy,1,2.28,808,Delta Air Lines,Delta Air Lines
18467-2504131720--32573-0-10968-2504132000,business,0,3.67,788,American Airlines,American Airlines
18467-2504130645--32573-0-10968-2504130929,business,0,3.73,649,American Airlines,American Airlines
18467-2504131329--32573-0-10968-2504131614,business,0,3.75,788,American Airlines,Envoy Air
18467-2504131940--31722-0-10968-2504132214,first,0,3.57,596,United Airlines,Air Canada
18467-2504131400--31722-0-10968-2504131634,first,0,3.57,827,United Airlines,Air Canada
18467-2504130630--32573-1-10968-2504131056,first,1,1.92,809,American Airlines,Envoy Air
18467-2504130630--32573-1-10968-2504131056,first,1,2.68,809,American Airlines,American Airlines
18467-2504131100--31722-1-10968-2504131602,first,1,2.05,849,United Airlines,SkyWest Airlines
18467-2504131100--31722-1-10968-2504131602,first,1,2.78,849,United Airlines,United Airlines
"18390-2504140700--31954,-31825-2-10968-2504141642",economy,2,0.98,329,Porter Airlines,Porter Airlines Inc
"18390-2504141305--31954,-31825-3-10968-2504150952",economy,3,0.98,296,Porter Airlines,Porter Airlines Inc
"18390-2504141015--31954,-31825-3-10968-2504150952",economy,3,0.98,296,Porter Airlines,Porter Airlines Inc
18467-2504141324--32385-1-10910-2504141751,premium_economy,1,2.27,661,Delta Air Lines,Delta Air Lines
18467-2504140615--32385-1-10910-2504141126,premium_economy,1,2.52,745,Delta Air Lines,Delta Air Lines
18467-2504141720--32573-0-10968-2504142000,business,0,3.67,527,American Airlines,American Airlines
18467-2504140645--32573-0-10968-2504140929,business,0,3.73,788,American Airlines,American Airlines
18467-2504141329--32573-0-10968-2504141614,business,0,3.75,649,American Airlines,Envoy Air
18467-2504141400--31722-0-10968-2504141634,first,0,3.57,827,United Airlines,Air Canada
18467-2504141940--31722-0-10968-2504142214,first,0,3.57,1049,United Airlines,Air Canada
18467-2504141514--32573-1-10968-2504141916,first,1,1.92,809,American Airlines,Envoy Air
18467-2504141514--32573-1-10968-2504141916,first,1,2.52,809,American Airlines,American Airlines
18467-2504140630--32573-1-10968-2504141056,first,1,1.92,809,American Airlines,Envoy Air
18467-2504140630--32573-1-10968-2504141056,first,1,2.68,809,American Airlines,American Airlines
"18390-2504150700--31954,-31825-2-10968-2504151642",economy,2,0.98,267,Porter Airlines,Porter Airlines Inc
"18390-2504150745--31954,-31825-2-10968-2504152316",economy,2,2.52,275,Spirit Airlines,Spirit Airlines
"18390-2504150645--31954,-31825-2-10968-2504152316",economy,2,2.52,275,Spirit Airlines,Spirit Airlines
18467-2504151324--32385-1-10910-2504151751,premium_economy,1,2.27,581,Delta Air Lines,Delta Air Lines
18467-2504150615--32385-1-10910-2504151105,premium_economy,1,2.52,581,Delta Air Lines,Delta Air Lines
18467-2504151134--32385-1-10968-2504151634,premium_economy,1,2.25,581,Delta Air Lines,Delta Air Lines
18467-2504151134--32385-1-10968-2504151634,premium_economy,1,2.35,581,Delta Air Lines,Delta Air Lines
18467-2504150745--32385-1-10968-2504151253,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504150745--32385-1-10968-2504151253,premium_economy,1,2.35,581,Delta Air Lines,Delta Air Lines
