stop_count,duration_in_hours,one_way_price_candollar,cabin_class_id,operating_airline_id,marketing_airline_id,itinerary_id
1,2.35,581,cc2,al4,al4,it414
0,3.67,649,cc3,al2,al2,it415
0,3.73,527,cc3,al2,al2,it416
0,3.75,527,cc3,al5,al2,it417
0,3.57,596,cc4,al3,al15,it418
0,3.57,596,cc4,al3,al15,it419
1,1.92,549,cc4,al5,al2,it420
1,2.85,549,cc4,al2,al2,it420
1,1.92,549,cc4,al5,al2,it421
1,2.52,549,cc4,al2,al2,it421
1,2.27,413,cc1,al4,al4,it422
1,2.27,460,cc1,al4,al16,it423
1,2.52,413,cc1,al4,al4,it424
1,2.25,413,cc1,al4,al4,it425
1,2.35,413,cc1,al4,al4,it425
1,2.27,581,cc2,al4,al4,it422
1,2.52,581,cc2,al4,al4,it424
1,2.25,581,cc2,al4,al4,it425
1,2.35,581,cc2,al4,al4,it425
0,3.57,831,cc3,al3,al3,it426
0,3.57,1566,cc3,al3,al3,it427
0,3.67,527,cc3,al2,al2,it428
0,3.73,649,cc3,al2,al2,it429
0,3.75,527,cc3,al5,al2,it430
1,2.05,1110,cc3,al13,al3,it431
1,2.78,1110,cc3,al15,al3,it431
1,3.9,853,cc3,al15,al3,it432
1,2.03,853,cc3,al15,al3,it432
1,2.02,1110,cc3,al15,al3,it433
1,2.78,1110,cc3,al15,al3,it433
1,2.1,853,cc3,al12,al3,it434
1,2.85,853,cc3,al15,al3,it434
1,3.9,620,cc3,al15,al3,it435
1,2.03,620,cc3,al15,al3,it435
0,3.57,842,cc4,al3,al15,it436
0,3.57,1558,cc4,al3,al15,it437
1,1.92,549,cc4,al5,al2,it438
1,2.68,549,cc4,al2,al2,it438
3,0.98,866,cc1,al10,al11,it439
3,1.25,866,cc1,al10,al11,it440
3,2.28,866,cc1,al14,al14,it440
1,2.23,807,cc2,al4,al4,it441
1,2.33,807,cc2,al4,al4,it442
