Name,IATA Code,ICAO Code,Country,City,City Code,Latitude,Longitude,Timezone,Departures
Edmonton/Villeneuve Airport,,CZVL,CA,Edmonton,YEA,53.6675,-113.85444,America/Edmonton,
Edmundston Airport,,CYES,CA,Edmundston,,47.48708,-68.47739,America/Moncton,
Edson Airport,YET,CYET,CA,Edson,YET,53.57895,-116.46216,America/Edmonton,
Ekati Airport,YOA,CYOA,CA,Ekati,YOA,64.69914,-110.61434,America/Yellowknife,
Elliot Lake Municipal Airport,YEL,CYEL,CA,Elliot Lake,YEL,46.35139,-82.56139,America/Toronto,
Empress Airport,,CYEA,CA,Empress,,50.93329,-110.01269,America/Edmonton,
Ennadai Lake Airport,,CWJC,CA,Ennadai,,61.13333333,-100.9,America/Rankin_Inlet,
Erik Nielsen Whitehorse International Airport,YXY,CYXY,CA,Whitehorse,YXY,60.70955,-135.06727,America/Whitehorse,762
Estevan Regional Aerodrome,YEN,CYEN,CA,Estevan,YEN,49.20801,-102.96005,America/Regina,
Eureka Aerodrome,YEU,CYEU,CA,Eureka,,79.99472,-85.81417,America/Rankin_Inlet,
Fairmont Hot Springs Airport,YCZ,CYCZ,CA,Fairmont Hot Springs,,50.32453,-115.87229,America/Edmonton,
Fairview Airport,ZFW,,CA,Fairview,,56.08015,-118.43657,America/Edmonton,
Faro Airport,ZFA,CZFA,CA,Faro,,62.2075,-133.37583,America/Whitehorse,
Flin Flon Airport,YFO,CYFO,CA,Flin Flon,YFO,54.67806,-101.68167,America/Winnipeg,
Fond-Du-Lac Airport,ZFD,CZFD,CA,Fond-du-Lac,ZFD,59.3344,-107.182,America/Regina,
Fontanges Airport,YFG,,CA,Fontanges,,54.5532,-71.17759,America/Toronto,
Forestville Airport,YFE,CYFE,CA,Forestville,,48.7461,-69.0972,America/Toronto,
Fort Albany Airport,YFA,CYFA,CA,Fort Albany,YFA,52.2014,-81.6969,America/Toronto,38
Fort Chipewyan Airport,YPY,CYPY,CA,Fort Chipewyan,YPY,58.76667,-111.11667,America/Edmonton,162
Fort Frances Municipal Airport,YAG,CYAG,CA,Fort Frances,YAG,48.6542,-93.4397,America/Winnipeg,62
