Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
German Forces Operations Control,DE,,,,,N/A,,,,,,,,,,,,,,
German Navy,DE,,,,GERMANNAVY,N/A,,,1,,,56,34.6,,,,,facebook.com/about,instagram.com/bundeswehr/,
German Airways,DE,ZQ,944,944,GERMANEAGLE,N/A,1,2024-01-25T00:00:00.000Z,1,1,1,,,,,,,,instagram.com/germanairways/,linkedin.com/company/zeitfracht-gruppe
Gerry's Dnata,PK,,,,,N/A,,,,,,,,,,,,,,
Gesellschaft Fur Flugzieldarstellung,DE,,,,KITE,N/A,,,,,,,,,,,,,,
Gestair,ES,,,,GESTAIR,N/A,,,1,,,28,9.9,,,,,,,
Gestair Aviation Malta,MT,,,,GESTAIRMALTA,N/A,,,1,,,,,,,,,,,
Gestavi,ES,,,,GESTAVI,N/A,,,,,,,,,,,,,,
Get High,PT,,,,AIRFLOW,N/A,,,,,,,,,,,,,,
GetJet Airlines,LT,GW*,59,,GETJET,N/A,1,2024-10-06T00:00:00.000Z,1,1,,4,18.5,0,0,,,facebook.com/GETJETAirlines,,linkedin.com/company/getjet-airlines/
Getjet Airlines Latvia,LV,,,,DREAMLAND,N/A,,,1,1,,,,,,,,facebook.com/GETJETAirlines,,linkedin.com/company/getjet-airlines/
GetJet Airlines,LT,,,,GETJET,N/A,1,,,,,4,18.5,0,0,,,facebook.com/GETJETAirlines,,linkedin.com/company/getjet-airlines/
Gewan Airways,KG,,,,GEWAN,N/A,,,,,,,,,,,,,,
GFW Aviation,AU,,,,,N/A,,,,,,,,,,,,,,
GH Stansted,UK,,,,,N/A,,,,,,,,,,,,,,
Ghadames Air,LY,,,,GHADAMES,N/A,,,1,,1,,,,,,,,,
Ghana Air Force,GH,,,,,N/A,,,,,,,,,,,,,,
Air Ghana,GH,,458,,AIRGHANA,N/A,,,,1,,1,28,,,,,,,
Ghiatsint-Rahat,KZ,,,,GIASIN,N/A,,,,,,,,,,,,,,
Gianair,GH,,,,,N/A,,,,,,,,,,,,,,
Gibson Aviation,US,,,,NIGHTCHASE,N/A,,,,,,,,,,,,,,
Gio,SI,,,,GIOAVIA,N/A,0,,,,,2,28.5,0,0,,,,,
Gira Globo,AO,,,,GIRAGLOBO,N/A,,,,,,,,,,,,,,
Air Glaciers,CH,,,,AIRGLACIERS,N/A,0,,1,,1,17,23.6,0,0,,,,,
Glasym,MX,,,,GLASIMO,N/A,,,,,,,,,,,,,,
Global Aircargo,BH,,,,,N/A,,,,,,,,,,,,,,
Global Airlift,KE,,,,SKYCRAWLER,N/A,,,,,,,,,,,,,,
Global Avanti,VE,,,,AVANTI,N/A,,,,,,,,,,,,facebook.com/globalavanti,instagram.com/https://www.instagram.com/globalavanti,
Global Avia Handling,RU,,,,,N/A,,,,,,,,,,,,,,
Global Air Charter,US,,,,RESPONSE,N/A,,,,,,,,,,,,facebook.com/GlobalAirChartersInc,instagram.com/global.air.charters/,linkedin.com/company/global-air-charters/
Global Air Charters,US,,,,GLOBALJETS,N/A,0,,1,,,6,20.5,0,0,,,facebook.com/GlobalAirChartersInc,instagram.com/global.air.charters/,linkedin.com/company/global-air-charters/
Global Crossing Airlines,US,G6*,402,402,GEMINI,N/A,1,2024-02-04T00:00:00.000Z,1,1,,,,,,,,facebook.com/globalxair,instagram.com/_u/globalxairlines,linkedin.com/company/global-crossing-airlines/
Global Feeder Services,US,GC,282,,,N/A,,,0,1,1,,,,,,,,,linkedin.com/company/global-feeder/
Global Flight School,PT,,,,GLOBALSCHOOL,N/A,,,1,,,,,,,,,facebook.com/GlobalFlightSchool,instagram.com/globalflightschool,linkedin.com/school/global-flight-school
Global Aviation,BF,,,,NIMBA,N/A,,,,,,,,,,,,,,
Global Airways,LT,,,,LITGLOBE,N/A,,,,,,,,,,,,,,
Global Aviation,iQ,,,,GLOBALAVIATION,N/A,,,,,,,,,,,,,,
Global Air Company,UA,,,,GLOBAL,N/A,,,,,,,,,,,,,,
Global Jet Aruba,AW,,,,PLATA,N/A,,,,,,,,,,,,,,
Global Jet Austria,AT,,,,GLOBALAUSTRIA,N/A,0,,,,,11,6.9,0,0,,,,,
Global Jet Corporation,US,,,,THUNDERCLOUD,N/A,,,,,,,,,,,,,,
Global Jet Luxembourg,LU,,,,SILVERARROW,N/A,,,1,1,1,47,8.8,,,,,facebook.com/GlobalJetConcept,instagram.com/globaljetconcept/,linkedin.com/company/1468634/
Global Aviation,MR,,,,GLOBEMASTER,N/A,,,1,,,,,,,,,,,
Global Aviation Operations,ZA,GE,,698,GLOBE,N/A,,,,,,3,31,,,,,,,
Global Reach Aviation,DK,,,,GRAVITY,N/A,,,1,,,,,,,,,,,
Global Aviation Services Group,LY,5S,301,301,,N/A,,,,,,,,,,,,,,
Global Air Servies Nigeria,NG,,,,GLOBALSERVE,N/A,,,,,,,,,,,,,,
Global Sky Aircharter,US,,,,GLOBALSKY,N/A,,,,,,,,,,,,,,
Global SuperTanker Services,US,,,,SUPERTANK,N/A,,,,,,,,,,,,facebook.com/globalsupertanker,instagram.com/globalsupertankerservices/,
Global Systems,US,,,,,N/A,,,,,,,,,,,,,,
Global Weather Dynamics,US,,,,,N/A,,,,,,,,,,,,,,
Global Wings,KY,,,,GLOBALWINGS,N/A,,,,,,,,,,,,,,
GlobalX-Colombia,CO,,,,,N/A,,,,,,,,,,,,,,
Globe Air Cargo,AG,,,,GLOBECARGO,N/A,,,,,,,,,,,,,,
GlobeAir,AT,,,,DREAMTEAM,N/A,0,,1,,,20,11.3,0,0,,,facebook.com/GlobeAir,instagram.com/globeair/,linkedin.com/company/1664319
Globus Avia,KZ,,,,GLOVIA,N/A,,,,,,,,,,,,,,
GloBus,RU,,,,CITYWINGS,N/A,,,1,,1,,,,,,,,,
Glock Aviation,AT,,,,GLOCK,N/A,,,1,,,,,,,,,,,
Glory Airline,NG,,,,GLORYAIR,N/A,,,1,,,,,,,,,,,
GM Helicopters,LA,,,,GLOBEMERIDIAN,N/A,0,,,,,10,26.7,0,0,,,,,
GMJ Air Shuttle,US,,,,HIGHTECH,N/A,,,,,,,,,,,,,,
Air Go Egypt,EG,,,,EGYPTIANBIRD,N/A,,,1,,1,,,,,,,,,
Go! Aviation,FI,,,,GOBIRD,N/A,,,,,,,,,,,,,,
Go Jet Aviation,TR,,,,,N/A,,,,,,,,,,,,,,
Go2Sky,SK,6G*,,,RELAXAIR,N/A,1,2025-10-15T00:00:00.000Z,1,,,,,,,,,facebook.com/go2sky.aero,instagram.com/go2sky_airline/,linkedin.com/company/go2sky/
Gobierno de la Republica de Guinea Ecuatorial,GQ,,,,ECUATOGUINEA,N/A,,,,,,,,,,,,,,
Gof-Air,MX,,,,GOFAIR,N/A,,,,,,,,,,,,,,
Gofir,CH,,,,SWISSHAWK,N/A,,,,,,,,,,,,,,
GoJet Airlines,US,G7,573,573,LINDBERGH,N/A,1,2024-03-03T00:00:00.000Z,1,1,1,1,17,1,0,,,facebook.com/gojet,instagram.com/gojet_airlines,linkedin.com/company/gojet-airlines
GOL Linhas Aereas Inteligentes,BR,G3,127,127,GOLTRANSPORTE,N/A,1,2025-11-23T00:00:00.000Z,1,1,1,103,10.7,0,0,,,,instagram.com/voegoloficial,linkedin.com/company/gol
Goldeck-Flug,AT,,,,GOLDECKFLUG,N/A,0,,1,,,5,1,0,0,,,,,
Golden Aviation de Mexico,MX,,,,GOLDENMEXICO,N/A,,,,,,,,,,,,,,
Golden Pacific Airlines,US,,,,GOLDPAC,N/A,,,,,,,,,,,,,,
Golden Sky Airline,LY,,,,GOLDENSKY,N/A,,,,,,,,,,,,,,
Golden Star Air Cargo,SD,,,,GOLDENSTAR,N/A,,,,1,,,,,,,,,,
Golden Wings Charter,BS,,,,SUNBURN,N/A,,,,,,,,,,,,,,
Golfe Air Quebec,CA,,,,GOLFAIR,N/A,,,,,,,,,,,,,,
Goliaf Air,ST,,,,GOLIAFAIR,N/A,,,,,,,,,,,,,,
Gomel Engineer's Institute of the Ministry for Emergency Situations,BY,,,,,N/A,,,,,,,,,,,,,,
Gonini Air Services,SR,,,,GONINI,N/A,,,,,,,,,,,,,,
Good Jet,CN,,,,YANDU,N/A,0,,,,,1,9,0,0,,,,,
GoodJET,US,,,,GOLDENGATE,N/A,,,1,0,0,,,,,,,,,
Goodridge,UK,,,,REDSTAR,N/A,,,,,,,,,,,,,,
Gospa Air,MX,,,,GOSPAAIR,N/A,,,,,,,,,,,,,,
Government Civil Aviation Authority,,,,,,N/A,,,,,,,,,,,,,,
Government Flying Service of Hong Kong Special Administrative Region,HK,,,,HONGKONGGOVERNMENT,N/A,,,,,,,,,,,,,,
Government of Bulgaria,BG,,,,BULGARIAN,N/A,,,,,,,,,,,,,,
Government of Zambia Communications Flight (Aircraft),ZM,,,,COMFLIGHT,N/A,,,,,,,,,,,,,,
Government of the Republic of Slovenia,SI,,,,SLOVENIA,N/A,,,,,,,,,,,,facebook.com/VladaRepublikeSlovenije,instagram.com/gov.si,
Government of Kuwait,KW,,,,KUWAITIGOV,N/A,,,1,0,0,,,,,,,,,
Government of Ontario,CA,,,,ONTARIOGOVERNMENT,N/A,,,,,,,,,,,,,,
"Government of Quebec, Government Air Service.",CA,,,,QUEBEC,N/A,0,,1,,,19,29.4,0,0,,,,,
Government of the Philippines,PH,,,,PILIPINAS,N/A,,,,,,,,,,,,,,
Government Air Transport Services,NA,,,,NAM,N/A,,,,1,,,,,,,,,,
GP Express Airlines,US,,,,REGIONALEXPRESS,N/A,,,,,,,,,,,,,,
GP Aviation,BG,IV,,,IVORY,N/A,0,,1,,1,1,23,0,0,,,,,
GPM Aeroservicio,MX,,,,GPMAEROSERVICIO,N/A,,,,,,,,,,,,,,
Grace Flight Of America,US,,,,GRACEFLIGHT,N/A,,,,,,,,,,,,,,
Grafair Flight Management,SE,,,,PARROT,N/A,,,1,,,,,,,,,facebook.com/GrafairJetCenter,,
Grand Canyon Airlines,US,,,,CANYONVIEW,N/A,,,1,,,16,30.3,,,,,facebook.com/flygcsa,instagram.com/flygcsa,
Grand China Air,CN,CN,895,895,GRANDCHINA,N/A,0,,1,1,1,3,10.3,0,0,,,,,
Grand Airways Inc.,US,,,,GRANDVEGAS,N/A,,,,,,,,,,,,,,
Grande Aviation,US,,,,GRANDE,N/A,,,1,,,,,,,,,facebook.com/flyknoxvillecharter,instagram.com/grandeaviationcharter/,
Grant Aviation,US,GV*,,,HOOT,N/A,0,,1,,1,29,25.4,0,0,,,facebook.com/GrantAviation,,
Grantex Aviation,UK,,,,LANDMARK,N/A,,,,,,,,,,,,,,
Great Circle Aviation,US,,,,STAGECOACH,N/A,,,,,,,,,,,,,,
Great Lakes Jet Express,US,,,,AERODYNAMICS,N/A,,,,,,,,,,,,,,
Great Lakes Airways,UG,,,,LAKESCARGO,N/A,,,,,,,,,,,,,,
Great Western Air,US,,,,GWAIR,N/A,,,,,,,,,,,,,,
Greater Bay Airlines,CN,HB,,283,GREATBAY,N/A,,,1,1,1,,,,,,,,,
Greek Navy,GR,,,,HELLENICNAVY,N/A,,,,,,,,,,,,facebook.com/HellenicNavyGR,instagram.com/_u/hellenicnavygr,
Green Africa Airways,NG,Q9,,,GREENAFRICA,N/A,,,1,1,1,,,,,,,,,
Green Flag Aviation,SD,,,,GREENFLAG,N/A,0,,,1,,15,32.6,0,0,,,,,
Greenland Express Iceland,GL,,,,,N/A,,,,,,,,,,,,,,
Air Greenland,GL,GL,631,631,GREENLAND,N/A,,,1,1,1,,,,,,,facebook.com/airgreenland,instagram.com/air_greenland_official/,
Greenlandcopter,GL,,,,HELIX,N/A,,,,,,,,,,,,,,
Gregg Air,UK,,,,,N/A,,,,,,,,,,,,,,
GreyBird Aviation,DK,,,,GEEBIRD,N/A,,,1,,,,,,,,,facebook.com/greybirdpilotacademy,instagram.com/greybirdpilotacademy/,
Gridiron Air,US,,,,REDZONE,N/A,,,,,,,,,,,,,,
Griffon Aviation (Cyprus),CY,,,,GRIFFONAIR,N/A,,,,,,,,,,,,facebook.com/GriffonAviationAvgoustinos,instagram.com/griffonaviation/,linkedin.com/company/griffon-aviation.ltd
Air Grischa Helikopter,CH,,,,AIRGRISCHA,N/A,,,,,,,,,,,,facebook.com/swisshelicopter,instagram.com/swisshelicopter/,
Ground Handling Service de Mexico,MX,,,,GROUNDHANDLING,N/A,,,,,,,,,,,,,,
Ground Handling Control Center,RU,,,,,N/A,,,,,,,,,,,,,,
Groupe Transair,SN,R2,,812,TRANSGROUP,N/A,0,,1,1,1,5,31,0,0,,,,,
Grup Air-Med,ES,,,,GRUPOMED,N/A,,,1,,,,,,,,,,,
Grupo Aeronautico AFA,MX,,,,GRUPOAFA,N/A,,,,,,,,,,,,,,
Grupo Aeronautico Ova,MX,,,,GRUPOVA,N/A,,,,,,,,,,,,,,
Grupo Corporativo Skyway,CR,LC,,,,N/A,,,,,,,,,,,,,,
Grupo de Aviacion Ejecutiva,MX,,,,GRUPOEJECUTIVA,N/A,,,,,,,,,,,,,,
Grupo Desarrollador Qpula,MX,,,,QUPULA,N/A,,,,,,,,,,,,,,
Grupo Integracion Comercializacion y Servicios,MX,,,,INTECOM,N/A,,,,,,,,,,,,,,
Grupo LASA,AR,,,,LASA,N/A,,,,,,,,,,,,,,
Grupo Vuelos Mediterraneo,ES,,,,VUELOSMED,N/A,,,,,,,,,,,,,,
Gryphon Air Cargo,GE,,,,LELO,N/A,,,1,,,,,,,,,,,
Gryphon Airlines,ZA,,,,SIMBA,N/A,,,1,1,1,,,,,,,,,
Gryphon Air,US,,,,AIRFOX,N/A,,,1,,,,,,,,,,,
GS Aviation (Gambia),GM,,,,,N/A,,,,,,,,,,,,,,
GSS Airline,SM,,,,CARGOBIRD,N/A,,,,1,,,,,,,,,,
"GST Aero, Aircompnay",KZ,,,,MURAT,N/A,,,,,,,,,,,,,,
GTA Air,US,,,,BIGDEE,N/A,,,,1,,,,,,,,,,
Guangzhou Baoneng Business Aviation,CN,,,,BAONENGJET,N/A,,,1,,,,,,,,,,,
Guarda Costiera Italiana,IT,,,,ITALIANCOASTGUARD,N/A,,,1,,,,,,,,,,,
Guardian Air Asset Management,ZA,,,,FLEX,N/A,0,,1,,,3,30,0,0,,,,,
Guilin General Aviation,CN,,,,GUILINROTOR,N/A,0,,,,,1,9,0,0,,,,,
Guinea Cargo,GQ,,,,GUINEACARGO,N/A,,,,,,,,,,,,,,
Guinee Airways,GN,,,,GUINEEAIRWAYS,N/A,,,,,,,,,,,,,,
Guja,MX,,,,GUJA,N/A,,,,,,,,,,,,,,
Gulf African Airlines,GM,,,,GULFAFRICAN,N/A,,,,,,,,,,,,,,
Gulf Air Bahrain,BH,,,,GULFBAHRAIN,N/A,,,1,,1,,,,,,,,,
Gulf & Caribbean Cargo,US,IF*,611,,,N/A,,,,,,,,,,,,,,
Gulf Central Airlines,US,,,,GULFCENTRAL,N/A,,,,,,,,,,,,,,
Gulf Air,US,,,,GULFTRANS,N/A,,,,,,,,,,,,,,
Gulf Air,BH,GF,72,72,GULFAIR,N/A,1,2025-05-05T00:00:00.000Z,1,1,1,22,5.1,0,0,,,,,
Gulf Pearl Air Lines,LY,,,,AIRGULFPEARL,N/A,,,,,,,,,,,,,,
Gulf Aviation Services Group (United Aviation),KW,,,,SENYARI,N/A,,,,,,,,,,,,,,
Gulf Wing Aviation,GH,,,,JUPITER,N/A,,,,,,,,,,,,,,
Gulf Wings,AE,,,,GULFWINGS,N/A,0,,1,,,5,14.2,0,0,,,,,
gulfmed Aviation Services,MT,,,,GULFMED,N/A,,,,,,,,,,,,,,linkedin.com/company/gulf-med-aviation-services/
Gulfstream Aerospace,US,,,,GULFSTREAMTEST,N/A,,,1,1,,,,,,,,,,
Gulfstream Airlines,US,,,,GULFSTAR,N/A,,,,,,,,,,,,,,
Gull Air,US,,,,GULLAIR,N/A,,,,,,,,,,,,,,
GullivAir,BG,G2,,432,VAGABOND,N/A,,,1,,1,,,,,,,,,
Gum Air,SR,,,,GUMAIR,N/A,,,1,,1,6,23.2,,,,,,,
Guneydogu Havacilik Isletmesi,TR,,,,RISINGSUN,N/A,0,,,,,4,17.8,0,0,,,,,
GX Airlines,CN,GX,872,872,GREENCITY,N/A,1,2025-04-02T00:00:00.000Z,1,1,1,18,6.7,0,0,,,,,
H H Helicopters,UK,,,,CORINIUM,N/A,,,,,,,,,,,,facebook.com/heliadventure,,
H.R.H. The Crown Prince Maha Vajiralongkorn,TH,,,,VICTORMIKE,N/A,,,,,,,,,,,,,,
LLC H3Operations,UA,,,,HELIOPS,N/A,,,,,,,,,,,,,,
Habock Aviation,ES,,,,HELITAF,N/A,,,,,,,,,,,,,,linkedin.com/company/eliance-aviation/
Hadison Aviation,SD,,,,HADI,N/A,,,,,,,,,,,,,,
Hagondale,UK,,,,AIRNET,N/A,,,,,,,,,,,,,,
Hahn Air Lines,DE,HR,169,169,ROOSTER,N/A,1,2025-11-16T00:00:00.000Z,1,1,1,4,6,0,0,,,facebook.com/HahnAir,,linkedin.com/company/hahn-air
Hahn Air Systems,DE,H1,,,,N/A,,,,,,,,,,,,facebook.com/HahnAir,,linkedin.com/company/hahn-air
Hahn Air,DE,X1,,,,N/A,,,,,,,,,,,,facebook.com/HahnAir,,linkedin.com/company/hahn-air
Hai Au Aviation,VN,,,,,N/A,,,1,,,,,,,,,,,
Hainan Aviation Academy,CN,,,,SUPERB,N/A,,,1,,,,,,,,,,,
Hainan Airlines,CN,HU,880,880,HAINAN,N/A,1,2025-12-09T00:00:00.000Z,1,1,1,182,6.3,0,0,,,,,
Hainan Lily Jet,CN,,,,AIRLILY,N/A,,,1,,,,,,,,,,,
Haiti Air Freight International,HT,,,,,N/A,,,,,,,,,,,,,,
Air Haiti,HT,,,,AIRHAITI,N/A,,,,,,,,,,,,,,
Haiti International Air,HT,,,,HAITIINTERNATIONAL,N/A,,,,,,,,,,,,,,
Haiti National Airlines (HANA),HT,,,,HANAIR,N/A,,,,,,,,,,,,,,
Haiti North Airline,HT,,,,,N/A,,,,,,,,,,,,,,
Haiti Trans Air,HT,,,,HAITITRANSAIR,N/A,,,,,,,,,,,,,,
Haitian Aviation Line,HT,,,,HALISA,N/A,,,,,,,,,,,,,,
Hak Air,NG,,,,HAKAIRLINE,N/A,,,,,,,,,,,,,,
Hala Air,LY,HG,,743,HALAEXPRESS,N/A,,,1,,1,,,,,,,,,
Hala Air,SD,,,,HALAAIR,N/A,,,,,,,,,,,,,,
Halcyon Air Bissau Airways,GW,,,,HALCYON,N/A,,,,,,,,,,,,,,
Halla Airlines,SO,,,,HALLA,N/A,,,,,,,,,,,,,,
Halsteds Aviation Corporation,ZM,,,,BLUETIP,N/A,,,1,,,,,,,,,,,
Hamlin Jet,UK,,,,BIZJET,N/A,,,,,,,,,,,,,,
Hand D Aviation,US,,,,WABASHVALLEY,N/A,,,,,,,,,,,,,,
Hangar 8 Ltd.,UK,,,,HANG,N/A,,,,,,,,,,,,,,linkedin.com/company/492071
Hanhwa Business Jet Airlines,CN,,,,HANMA,N/A,0,,,,,2,8,0,0,,,,,
Hans Airways,UK,,,,SWARN,N/A,,,,,,,,,,,,,,
Hanseo University,KR,,,,HANSEOFLIGHT,N/A,,,1,,,,,,,,,,,
Happy Jet,CN,,,,HAPPYJET,N/A,,,1,,,,,,,,,,,
Happy Landings (Flight Training),PK,,,,IQRAPAKISTAN,N/A,,,,,,,,,,,,,,
Happy Air Travellers,TH,,,,HAPPYTRAVEL,N/A,,,,,,,,,,,,facebook.com/Plesk,,linkedin.com/company/plesk
Harbor Air,US,,,,HARBORAIR,N/A,,,,,,,,,,,,,,
Harbour Air,CA,YB,,,,N/A,,,1,0,1,,,,,,,,instagram.com/harbourair,
Harley-Davidson,US,,,,HOG,N/A,0,,,,,1,8,0,0,,,facebook.com/Harley.Davidson.Deutschland,instagram.com/harleydavidsongermany_austria/,
Harmony Jets,MT,,,,HARMONYJETS,N/A,,,1,0,0,,,,,,,facebook.com/Harmonyjetsairlines,instagram.com/harmonyjets/,linkedin.com/company/harmony-jets
Harty Aviation,EG,,,,HARTY,N/A,,,,,,,,,,,,,,
HASA - Hispanica de Aviacion,ES,,,,HISPANICA,N/A,,,,,,,,,,,,,,
Haskin Aviation,US,,,,,N/A,,,,,,,,,,,,,,
Haughey Air,UK,,,,NORBROOK,N/A,,,,,,,,,,,,,,
Haute Aviation,AT,,,,BATMAN,N/A,,,,,,,,,,,,,,
Haute Aviation,CH,,,,HAUTE,N/A,,,1,,,,,,,,,,,
Havilah Air Services,NG,,,,HAVILAH,N/A,,,,,,,,,,,,,,
Hawaiian Globetrotter,US,,,,AKAAL,N/A,,,1,,,,,,,,,,,
Hawaiian Airlines,US,HA,173,173,HAWAIIAN,N/A,1,2025-03-13T00:00:00.000Z,1,1,1,46,9.5,1,0,,,facebook.com/HawaiianAirlines,instagram.com/hawaiianairlines,
Hawk de Mexico,MX,,,,HAWKMEXICO,N/A,,,,,,,,,,,,,,
Hawkaire,US,,,,HAWKEYE,N/A,0,,1,1,1,1,13,0,0,,,,,
Hawker Beechcraft,US,,,,CLASSIC,N/A,,,,,,,,,,,,facebook.com/beechcraft,instagram.com/_u/TextronAviation,linkedin.com/company/beechcraft
Hawker Beechcraft,UK,,,,NEWPIN,N/A,,,,,,,,,,,,facebook.com/beechcraft,instagram.com/_u/TextronAviation,linkedin.com/company/beechcraft
Hayways,AM,Y5,509,,HAYWAYS,N/A,,,,1,1,,,,,,,,,
HD Air,UK,,,,RAPEX,N/A,,,,,,,,,,,,,,
Heathrow Jet Charter,UK,,,,RHIONAIR,N/A,,,,,,,,,,,,,,
Heavy Airlift Wing,HU,,,,BARTOK,N/A,,,1,,,,,,,,,,,
Hebei Hongsheng Jet,CN,,,,BAOSHENG,N/A,,,,,,,,,,,,,,
Hebei Airlines,CN,NS,836,836,HEBEIAIR,N/A,1,2025-09-15T00:00:00.000Z,1,1,1,28,5.4,0,0,,,,,
Hebei Tonghe General Aviation,CN,,,,VOODOO,N/A,0,,,,,1,8,0,0,,,,,
Hebridean Air Services,UK,,,,HEBRIDEAN,N/A,,,1,,1,,,,,,,facebook.com/hebrideanairservices,,
Helenair,BB,,,,HELEN,N/A,,,,,,,,,,,,,,
Helenair Corporation,LC,,,,HELENCORP,N/A,,,,,,,,,,,,,,
Heli and Co,BE,,,,HELIANCO,N/A,,,1,,,,,,,,,facebook.com/heliandco,,
Heli Bernina,CH,,,,HELIBERNINA,N/A,,,,,,,,,,,,facebook.com/helibernina,,
Heli-Charter,UK,,,,HELICHARTER,N/A,,,,,,,,,,,,,,
Heli France,FR,,,,HELIFRANCE,N/A,0,,,,,1,38,0,0,,,,,
Heli Air,UK,,,,WHISPER,N/A,,,,,,,,,,,,,,
Heli Holland Offshore,NL,,,,,N/A,,,,,,,,,,,,facebook.com/heliholland,,linkedin.com/company/heli-holland
Heli-holland,NL,,,,HELIHOLLAND,N/A,,,1,,,,,,,,,facebook.com/heliholland,,linkedin.com/company/heli-holland
Heli Hungary,HU,,,,HELIHUNGARY,N/A,,,,,,,,,,,,,,
Heli-Iberica Fotogrametria,ES,,,,HIFSA,N/A,,,,,,,,,,,,,,
Heli-Iberica,ES,,,,ERICA,N/A,,,,,,,,,,,,,,
Heli-inter Guyane,GY,,,,INTERGUYANE,N/A,,,,,,,,,,,,,,
Heli Midwest de Mexico,MX,,,,HELIMIDWEST,N/A,,,,,,,,,,,,,,
Heli Air Monaco,MC,YO,747,747,HELIAIR,N/A,0,,1,1,,6,29.8,0,0,,,,,
Heli Securite,FR,HS,,,HELISAINTTROPEZ,N/A,0,,1,,1,12,16.3,0,0,,,facebook.com/Helisecuritehelicopterairline,instagram.com/helisecurite/,linkedin.com/company/heli-securite/
Heli Service,JP,,,,,N/A,,,,,,,,,,,,,,
Heli Service International,DE,,,,HELISERVICE,N/A,,,1,,,,,,,,,facebook.com/HeliServiceInternational,,linkedin.com/company/heliservice/
Heli Air Services,BG,,,,HELIBULGARIA,N/A,,,1,,,5,22.2,,,,,facebook.com/heliair.bg,,
Heli-Team,NO,,,,REDLIFT,N/A,,,,,,,,,,,,facebook.com/HeliTeam.no,instagram.com/heli_team_as/,
Heli Transair,NO,,,,HELITRANSAIR,N/A,,,,,,,,,,,,facebook.com/helitransair,instagram.com/helitransair/,
Heli Union Heli Prestations,FR,,,,HELIUNION,N/A,0,,,,,21,13.9,0,0,,,,,
Heliair Sweden,SE,,,,SWEDCOPTER,N/A,,,1,,,,,,,,,facebook.com/heliairsweden,,
Heliamerica de Mexico,MX,,,,HELIAMERICA,N/A,,,,,,,,,,,,,,
Heliavia-Transporte Aereo,PT,,,,HELIAVIA,N/A,,,,,,,,,,,,,,
HeliAviation,UK,,,,CADDY,N/A,,,,,,,,,,,,facebook.com/DigitsLtd,,linkedin.com/in/digits-ltd/
Helibravo Aviacao,PT,,,,HELIBRAVO,N/A,0,,1,,,16,18,0,0,,,,instagram.com/helibravoaviation,
Helicap,FR,,,,HELICAP,N/A,,,1,,,,,,,,,,,
Helicapital,MX,,,,HELICAPITAL,N/A,,,,,,,,,,,,,,
Helicentre Coventry,UK,,,,HELICENTRE,N/A,,,1,,,,,,,,,facebook.com/flyhelicentre,instagram.com/flyhelicentre,
Helicentre Liverpool,UK,,,,FUSION,N/A,,,1,,,,,,,,,,,
Helicharter Wales,UK,,,,HELIWALES,N/A,,,,,,,,,,,,,,
Helico ApS,DK,,,,,N/A,,,,,,,,,,,,,,
Helico de Mexico,MX,,,,HECOMEX,N/A,,,,,,,,,,,,,,
Helicocean,NC,,,,HELIOCEAN,N/A,,,,,,,,,,,,,,
Helicol. Helicopteros Nacionales de Colombia,CO,,,,HELICOL,N/A,,,,,,,,,,,,facebook.com/helicolpas,instagram.com/helicol_sas/,
Airport Helicopter Basel,CH,,,,AIRPORTHELICOPTER,N/A,,,,,,,,,,,,facebook.com/airportheli,instagram.com/airporthelicopter/,linkedin.com/company/airport-helicopter-ag/
Helicopter,CZ,,,,HELICZECH,N/A,,,,,,,,,,,,,,
Helicopter Operations Mexico,MX,,,,HELICORP,N/A,,,,,,,,,,,,,,
Helicopter.pl,PL,,,,SKYCOPTER,N/A,,,,,,,,,,,,,,
Helicopter Services Malta,MT,,,,HELIMALT,N/A,,,,,,,,,,,,,,
Helicopter & Aviation Services,UK,,,,JOCKEY,N/A,,,,,,,,,,,,,,
Helicopter Services,UK,,,,TOPCAT,N/A,,,1,,,,,,,,,facebook.com/heliservicesuk,instagram.com/helicopterservices/,
Helicopter Air Traffic Control,,,,,,N/A,,,,,,,,,,,,,,
Helicopter World,ES,,,,HELIWORLD,N/A,,,,,,,,,,,,,,
Helicopterflights,MT,,,,EAGLE,N/A,,,,,,,,,,,,facebook.com/Helicopterflightsmt-101213638247705,,
Helicopteros Aero Personal,MX,,,,HELIPERSONAL,N/A,,,,,,,,,,,,,,
Helicopteros Agroforestal,CL,,,,AGROFORESTAL,N/A,,,,,,,,,,,,,,
Helicopteros de Guatemala,GT,,,,,N/A,,,,,,,,,,,,,,
Helicopteros de Cataluna,ES,,,,HELICATALUNA,N/A,,,,,,,,,,,,,,
Helicopteros del Caribe (HELICA),VE,,,,HELICA,N/A,,,,,,,,,,,,,,
Helicopteros Ejecutivos,MX,,,,HELIJECUTIVO,N/A,,,,,,,,,,,,,,
Helicopteros Insulares,ES,,,,,N/A,,,,,,,,,,,,,,
Helicopteros Internacionales,MX,,,,HELICOPINTER,N/A,,,,,,,,,,,,,,
Helicopteros Personales,PA,,,,HELIPER,N/A,,,,,,,,,,,,facebook.com/hpflightschool,instagram.com/hpflightschooldivision/,
