Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
Advanced Air,JP,,,,,N/A,0,,,,,1,25,0,0,,,,,
Advanced Air,US,AN,,360,WINGSPAN,N/A,0,,1,,1,20,11.8,0,0,,,facebook.com/Advancedairlines,instagram.com/advancedairlines/,linkedin.com/company/advanced-air-charters
Advanced Flight Training,UK,,,,ADVANCED,N/A,,,,,,,,,,,,,,
Aviation Adventures,US,,,,SKYVENTURES,N/A,,,1,,,,,,,,,,,
Aviation Advisor,US,,,,LAKEFRONT,N/A,0,,1,,,20,12.4,0,0,,,,,
Advisors Aviation,US,,,,CARDINAL,N/A,0,,,,,1,15,0,0,,,,,
AEF Cranwell,UK,,,,,N/A,,,1,,,,,,,,,,,
AEG Aviation Services,US,,,,,N/A,,,,,,,,,,,,facebook.com/aegfuels,instagram.com/aegfuels/,linkedin.com/company/associated-energy-group
Aegean Airlines,GR,A3,390,390,AEGEAN,N/A,1,2025-06-10T00:00:00.000Z,1,1,1,46,9.7,0,0,,,facebook.com/aegeanairlines,instagram.com/aegeanairlines,
Aegean Executive,GR,,,,SEAGULL,N/A,,,1,,,,,,,,,,,
Aegle Aviation (Aruba),AW,,,,RHOMBUS,N/A,,,1,,,,,,,,,,,linkedin.com/company/aegle-aviation/
Aeolus Air,GM,,,,AEOLUS,N/A,,,1,,1,,,,,,,,,
Aer Lingus UK,UK,EG,,,GREENFLIGHT,N/A,,,1,1,1,,,,,,,,,
Aer Lingus,IE,EI,53,53,SHAMROCK,N/A,1,2025-10-21T00:00:00.000Z,1,1,1,42,10.5,1,0,,,,,
Aer Southeast,IE,,,,,N/A,,,,,,,,,,,,,,
Aerbrava,ES,,,,,N/A,,,,,,,,,,,,facebook.com/aerbrava.scp,instagram.com/aerbrava,
Aercaribe,CO,JK,543,,ADMIRE,N/A,0,,,1,,4,31.5,0,0,,,facebook.com/aercaribe,instagram.com/aercaribecargo/,
Aerea,ES,,,,,N/A,,,,,,,,,,,,,,
Aerea Flying Training Organization,ES,,,,AEREATRAINING,N/A,,,,,,,,,,,,,,
Aereo Cabo,MX,,,,CABOAEREO,N/A,0,,,,,1,21,0,0,,,,,
Aereo GE S.A. de C.V,MX,,,,GEMEX,N/A,0,,,,,3,16,0,0,,,,,
Aereo Ruta Maya,GT,,,,RUTAMAYA,N/A,,,,,,,,,,,,,,
Aereo Taxi Paraza,MX,,,,AEREOPARAZA,N/A,,,,,,,,,,,,,,
Aereo Transportes Los Angeles de America,MX,,,,ANGELESAMERICA,N/A,,,,,,,,,,,,,,
Aereo WWG,MX,,,,AEROW,N/A,,,,,,,,,,,,,,
Aereosaba,MX,,,,AEREOSABA,N/A,,,,,,,,,,,,,,
Aereotaxis,MX,,,,AEREOTAXIS,N/A,,,,,,,,,,,,,,
Aereotcla,MX,,,,AEROCLA,N/A,,,,,,,,,,,,,,
AERgO International,AU,AX,766,,,N/A,,,0,1,1,,,,,,,,,
Aerial Surveys,NZ,,,,SURVEY,N/A,,,1,,,,,,,,,,,linkedin.com/company/aerial-surveys-nz/
Aeriantur-M,MD,,,,AEREM,N/A,,,,,,,,,,,,,,
Aeris Gestion,ES,,,,AERIS,N/A,,,1,,,,,,,,,,,
Aerius Management,US,,,,JETCITY,N/A,,,1,,,,,,,,,,,
Aero 1 Prop-Jet,CA,,,,RAPID,N/A,,,,,,,,,,,,,,
Aero Albatros,ES,,,,ALBATROSESPANA,N/A,,,,,,,,,,,,,,
Aero Albatros,MX,,,,ALBATROS,N/A,,,1,,,,,,,,,,,
Aero Asahi,JP,,,,,N/A,0,,,,,71,20.2,0,0,,,,,
Aero Astra,MX,,,,ROSTRA,N/A,,,,,,,,,,,,,,
Aero Barloz,MX,,,,AEROLOZ,N/A,0,,,,,3,14,0,0,,,,,
Aero-Beta,DE,,,,AEROBETA,N/A,,,1,,,,,,,,,facebook.com/Aero-Beta-134071899978487,,
Aero BG,MX,,,,AEROBG,N/A,,,,,,,,,,,,,,
Aero Biniza,MX,,,,BINIZA,N/A,0,,,,,1,17,0,0,,,,,
Aero Bleu Airways,PH,,,,,N/A,,,,,,,,,,,,,,
Aero Charter and Transport,US,,,,CHARTRAN,N/A,,,,,,,,,,,,,,
"Aero Charter, Inc.",US,,,,GASLIGHT,N/A,0,,1,,,15,12.5,0,0,,,,,
Aero Charter Krifka,AT,,,,KRIFKAAIR,N/A,,,,,,,,,,,,,,
Aero Club de Portugal,PT,,,,CLUBPORTUGAL,N/A,,,,,,,,,,,,facebook.com/AeroClubPortugal,instagram.com/aeroclubdeportugal/,
Aero Club de Castellon,ES,,,,,N/A,,,,,,,,,,,,facebook.com/aeroclubcastellon,instagram.com/aeroclubcastellon/,
Aero Clube de Algarve,PT,,,,CLUBEALGARVE,N/A,,,,,,,,,,,,,,
Aero Control Air,CA,,,,LIFEFLIGHTCANADA,N/A,,,,,,,,,,,,,,
Aero Copter,MX,,,,AEROCOP,N/A,0,,,,,4,21.8,0,0,,,,,
Aero Costa Taxi Aereo,MX,,,,AEROCOSTAXI,N/A,,,,,,,,,,,,,,
Aero Davinci Internacional,MX,,,,AERODAVINCI,N/A,,,,,,,,,,,,,,
Aero-Dienst,DE,,,,AERODIENST,N/A,,,1,1,1,9,13.4,,,,,,,linkedin.com/company/aero-dienst/
Aero Ejecutivo de Baja California,MX,,,,CALIEXET,N/A,0,,,,,1,40,0,0,,,,,
Aero Ejecutivos R.C.G.,MX,,,,EJECUTIVISRCG,N/A,,,,,,,,,,,,,,
Aero Ejecutivos,VE,,,,VENEJECTUTIV,N/A,,,,,,,,,,,,,,
Aero Elite Acapulco,MX,,,,ELITACAPULCO,N/A,,,,,,,,,,,,,,
Aero Empresa Mexicana,MX,,,,AEROEMPRESA,N/A,,,,,,,,,,,,,,
Aero Empresarial,MX,,,,AEROEMPRESARIAL,N/A,,,,,,,,,,,,,,
Aero Entreprise,FR,,,,AEROENTERPROSE,N/A,,,,,,,,,,,,,,
Aero Ermes,MX,,,,AEROERMES,N/A,0,,,,,1,44,0,0,,,,,
Aero Expedition,GE,,,,AEROGEORGIA,N/A,0,,1,,,2,6.5,0,0,,,,,
Aero Express Del Ecuador Trans AM,EC,7T,144,,AEROTRANSAM,N/A,0,,,1,1,1,32,0,0,,,facebook.com/dhl,,
Aero Express,NE,,,,,N/A,,,,,,,,,,,,,,
Aero Express Intercontinental,MX,,,,INTEREXPRESS,N/A,,,,,,,,,,,,,,
Aero,UK,FO*,,,BLACKJET,N/A,,,1,,,,,,,,,,,
Aero Guernsey,GG,,,,AERO,N/A,,,,,,,,,,,,,,
Aero Homex,MX,,,,AEROHOMEX,N/A,,,,,,,,,,,,,,
Aero Huilango,MX,,,,HUILANGO,N/A,,,,,,,,,,,,,,
Aero Airline,KZ,,,,ILEK,N/A,,,,,,,,,,,,,,
Aero Industries,US,,,,WABASH,N/A,,,,,,,,,,,,,,
