Name,IATA Code,ICAO Code,Country,City,City Code,Latitude,Longitude,Timezone,Departures
Atmautluak Airport,ATT,,US,Atmautluak,ATT,60.86675,-162.27314,America/Nome,
Atoka Municipal Airport,,KAQR,US,Atoka,,34.39526,-96.14865,America/Chicago,
Atqasuk Edward Burnell Sr. Memorial Airport,ATK,PATQ,US,Atqasuk,ATK,70.46802,-157.43134,America/Anchorage,
Atwood-Rawlins County City-County Airport,,KADT,US,,,39.83784,-101.04387,America/Chicago,
Auburn/Lewiston Municipal Airport,LEW,KLEW,US,Auburn/Lewiston,LEW,44.04856,-70.28647,America/New_York,
Auburn Municipal Airport,AUN,KAUN,US,Auburn,,38.9524,-121.08272,America/Los_Angeles,
Auburn-Opelika Robert G Pitts Airport,AUO,KAUO,US,Auburn,AUO,32.61541,-85.43606,America/Chicago,
Audubon County Airport,,KADU,US,Audubon,,41.70138,-94.92054,America/Chicago,
Augusta Regional Airport,AGS,KAGS,US,Augusta,AGS,33.36986,-81.96428,America/New_York,2470.0
Augusta State Airport,AUG,KAUG,US,Augusta,AUG,44.3205,-69.79721,America/New_York,
Aurora Municipal Airport,,KAUH,US,Aurora,GRI,40.8939,-97.99478,America/Chicago,
Aurora State Airport,,KUAO,US,Aurora,HIO,45.24969,-122.76968,America/Los_Angeles,
Austin-Bergstrom International Airport,AUS,KAUS,US,Austin,AUS,30.19453,-97.66987,America/Chicago,29894.0
Austin Executive Airport,EDC,KEDC,US,Pflugerville,AUS,30.39661,-97.56725,America/Chicago,
Austin Executive Airport,EDC,KEDC,US,Pflugerville,AUS,30.39661,-97.56725,America/Chicago,
Austin Airport,ASQ,KTMT,US,Austin,,39.46917,-117.19491,America/Los_Angeles,
Austin Municipal Airport,AUM,KAUM,US,Austin,AUM,43.66469,-92.93352,America/Chicago,
Austin Straubel International Airport,GRB,KGRB,US,Green Bay,GRB,44.48507,-88.12959,America/Chicago,2459.0
Ava Bill Martin Memorial Airport,,KAOV,US,Ava,,36.971901,-92.6819,America/Chicago,
Avenger Field,SWW,KSWW,US,Sweetwater,,32.4618,-100.47284,America/Chicago,
Avon Park Executive Airport,AVO,KAVO,US,Avon Park,,27.59444,-81.52626,America/New_York,
B. J. Mc Combs Sisterdale Airport (private),,,US,Kerrville,ERV,29.97605,-98.74364,America/Chicago,
Bacon County Airport,,KAMG,US,Alma,,31.53604,-82.50652,America/New_York,
Badami Airport,,PABP,US,Deadhorse,,70.1374969482,-147.0299987793,America/Anchorage,
Bagdad Airport,BGT,,US,Bagdad,BGT,34.5948,-113.16889,America/Phoenix,
Baker Municipal Airport,,KBHK,US,Baker,,46.35834,-104.25077,America/Denver,
Baker Municipal Airport,BKE,KBKE,US,Baker City,BKE,44.83765,-117.80966,America/Los_Angeles,
Baldwin County Airport,MLJ,KMLJ,US,Milledgeville,,33.15421,-83.24282,America/New_York,
Balloonport,,,US,,,37.09447,-97.96145,America/Chicago,
Baltimore-Washington International Airport,BWI,KBWI,US,Baltimore,BWI,39.17539,-76.66802,America/New_York,9364.0
Bandon State Airport,BDY,,US,Bandon,,43.0838,-124.40936,America/Los_Angeles,
Bangor International Airport,BGR,KBGR,US,Bangor,BGR,44.80892,-68.82275,America/New_York,2402.0
Banning Municipal Airport,BNG,KBNG,US,Banning,BNG,33.92136,-116.85746,America/Los_Angeles,
Baraboo Wisconsin Dells Airport,DLL,KDLL,US,Baraboo,,43.52193,-89.77068,America/Chicago,
Barkley Regional Airport,PAH,KPAH,US,Paducah,PAH,37.06083,-88.77375,America/Chicago,
Barksdale Air Force Base,BAD,KBAD,US,Bossier City,SHV,32.49696,-93.66762,America/Chicago,
Barnstable Municipal Airport-Boardman/Polando Field,HYA,KHYA,US,Hyannis,HYA,41.66733,-70.28741,America/New_York,632.0
Barnwell Regional Airport,BNL,KBNL,US,Barnwell,AIK,33.25955,-81.38083,America/New_York,
Barrow County Airport,WDR,KWDR,US,Winder,AHN,33.98292,-83.67016,America/New_York,
Barstow Daggett County Airport,DAG,KDAG,US,Daggett,,34.8536,-116.78753,America/Los_Angeles,
Barter Island LRRS Airport,BTI,PABA,US,Barter Island,BTI,70.13395,-143.58045,America/Anchorage,457.0
Bartlesville Municipal Airport,BVO,KBVO,US,Bartlesville,BVO,36.76231,-96.01137,America/Chicago,
Bartlett Cove Seaplane Base,BQV,,US,Gustavus,,58.45533,-135.88499,America/Juneau,
Bartletts Airport,BSZ,,US,Bartletts,BSZ,58.233611,-157.350278,America/Anchorage,
Bartow Municipal Airport,BOW,KBOW,US,Bartow,GIF,27.94364,-81.78314,America/New_York,
Basset Helipad,,,US,,,42.68928,-74.92141,America/New_York,
Batesville Regional Airport,BVX,KBVX,US,Batesville,,35.72591,-91.64736,America/Chicago,
Baton Rouge Metropolitan Airport,BTR,KBTR,US,Baton Rouge,BTR,30.53297,-91.14955,America/Chicago,3284.0
Battle Mountain Airport,BAM,KBAM,US,Battle Mountain,,40.60698,-116.87429,America/Los_Angeles,
Baudette International Airport,BDE,KBDE,US,Baudette,,48.72831,-94.61215,America/Chicago,
Baxley Municipal Airport,,KBHC,US,Baxley,,31.71302,-82.39178,America/New_York,
Bay City Municipal Airport,BBC,KBYY,US,Bay City,,28.97331,-95.86357,America/Chicago,
Bay View Airport,MVW,KBVS,US,Burlington,MVW,48.47038,-122.4235,America/Los_Angeles,
Baytown Airport,HPY,KHPY,US,Baytown,HPY,29.7872,-94.95712,America/Chicago,
Beale Air Force Base,BAB,KBAB,US,Beale Air Force Base,,39.14611,-121.43138,America/Los_Angeles,
Bear Creek 3 Airport,BCC,,US,Bear Creek,,63.57496,-156.14969,America/Anchorage,
Beatrice Municipal Airport,BIE,KBIE,US,Beatrice,BIE,40.30111,-96.75419,America/Chicago,
Beatty Airport,BTY,KBTY,US,Beatty,,36.86822,-116.78501,America/Los_Angeles,
Beaufort County Airport,BFT,KARW,US,Beaufort,BFT,32.41074,-80.63427,America/New_York,
Beaufort MCAS - Merritt Field,BFT,KNBC,US,Beaufort,,32.4774017334,-80.723197937,America/New_York,
"Beaufort, Michael J Smith Field Airport",,KMRH,US,Beaufort,,34.73361,-76.66056,America/New_York,
Beaumont Municipal Airport,BMT,KBMT,US,Beaumont,BPT,30.07044,-94.21554,America/Chicago,
Beauregard Regional Airport,DRI,KDRI,US,DeRidder,,30.83215,-93.33405,America/Chicago,
Beaver County Airport,BFP,KBVI,US,Beaver Falls,PIT,40.77229,-80.39118,America/New_York,
Beaver Island Airport,,KSJX,US,Beaver Island,,45.69294,-85.56287,America/Detroit,
Beaver Airport,WBQ,PAWB,US,Beaver,WBQ,66.362,-147.40781,America/Anchorage,
Beaver Ruin Heliport,JAO,,US,Lawrenceville,LZU,33.93066,-84.15325,America/New_York,
Bedford County Airport,,KHMZ,US,Bedford,,40.08804,-78.51666,America/New_York,
Beech Factory Airport,BEC,KBEC,US,Wichita,ICT,37.69447,-97.21499,America/Chicago,
Beech River Regional Airport,,KPVE,US,Darden,,35.65738,-88.19731,America/Chicago,
Beeville Municipal Airport,,KBEA,US,Beeville,,28.36752,-97.79672,America/Chicago,
Belfast Municipal Airport,,KBST,US,Belfast,,44.40915,-69.00871,America/New_York,
Bell Island Hot Springs Seaplane Base,KBE,,US,Bell Island,,55.9267,-131.57587,America/Juneau,
Belle Fourche Municipal Airport,,KEFC,US,Belle Fourche,,44.73326,-103.86148,America/Denver,
Belle Plaine Municipal Airport,,KTZT,US,Belle Plaine,,41.88329,-92.28366,America/Chicago,
Bellefontaine Regional Airport,,KEDJ,US,Bellefontaine,,40.37012,-83.81793,America/New_York,
Belleville Municipal Airport,,KRPB,US,Belleville,,39.81434,-97.65855,America/Chicago,
Bellingham International Airport,BLI,KBLI,US,Bellingham,BLI,48.79275,-122.53753,America/Los_Angeles,915.0
Beluga Airport,BVU,PABG,US,Beluga,,61.17522,-151.03862,America/Anchorage,
Bemidji-Beltrami County Airport,BJI,KBJI,US,Bemidji,BJI,47.50912,-94.93389,America/Chicago,
Ben Bruce Memorial Airpark,EVA,,US,Beaumont,BPT,30.32635,-94.07597,America/Chicago,
Bend Municipal Airport,,KBDN,US,Bend,RDM,44.09348,-121.20173,America/Los_Angeles,
Benson Municipal Airport,BBB,KBBB,US,Benson,,45.33163,-95.65087,America/Chicago,
Benton Field,BZF,,US,Redding,RDD,40.57531,-122.40646,America/Los_Angeles,
Bentonville Municipal Airport,,KVBT,US,Bentonville,ROG,36.34563,-94.2191,America/Chicago,
Berkeley County Airport,,KMKS,US,Moncks Corner,,33.18922,-80.03434,America/New_York,
Berkeley,JBK,,US,,JBK,37.86667,-122.3,America/Los_Angeles,
Berlin Regional Airport,BML,KBML,US,Berlin,,44.57478,-71.17508,America/New_York,
Bermuda Dunes Airport,UDD,KUDD,US,Bermuda Dunes,PSP,33.74559,-116.27061,America/Los_Angeles,
Bert Mooney Airport,BTM,KBTM,US,Butte,BTM,45.95465,-112.49808,America/Denver,347.0
Bessemer Airport,,KEKY,US,Bessemer,BHM,33.31194,-86.92546,America/Chicago,
"Bethel, Bethel Airport",,KBET,US,,,60.78583,-161.82639,America/Anchorage,
Bethel Airport,BET,PABE,US,Bethel,BET,60.77972,-161.83778,America/Anchorage,13252.0
Bethel Seaplane Base,JBT,,US,Bethel,,60.79107,-161.75167,America/Anchorage,
"Bettles, Bettles Airport",,KBTT,US,,,66.91611,-151.50889,America/Anchorage,
Bettles Airport,BTT,PABT,US,Bettles,BTT,66.91437,-151.52842,America/Anchorage,268.0
Beverly Municipal Airport,BVY,KBVY,US,Beverly / Danvers,BVY,42.58426,-70.91588,America/New_York,
Bicycle Lake Army Airfield,BYS,KBYS,US,Fort Irwin/Barstow,,35.2822,-116.63086,America/Los_Angeles,
Big Bear City Airport,RBF,,US,Big Bear,,34.26295,-116.85465,America/Los_Angeles,
Big Lake Airport,BGQ,PAGQ,US,Big Lake,,61.53557,-149.8129,America/Anchorage,
Big Mountain Air Force Station,BMX,PABM,US,Big Mountain,,59.362,-155.25347,America/Anchorage,
Big Piney-Marbleton Airport,BPI,KBPI,US,Big Piney,,42.58494,-110.11183,America/Denver,
Big Sandy Regional Airport,,KSJS,US,,,37.74803,-82.63904,America/New_York,
Big Spring McMahon-Wrinkle Airport,HCA,KBPG,US,Big Spring,HCA,32.21262,-101.52179,America/Chicago,
Bigfork Municipal Airport,,KFOZ,US,Bigfork,,47.78035,-93.6481,America/Chicago,
Biggs Army Air Field,BIF,KBIF,US,Fort Bliss/El Paso,ELP,31.84955,-106.38026,America/Denver,
Billy G Ray Field,,KCNP,US,Chappell,,41.07639,-102.46237,America/Denver,
Billy Mitchell Airport,HNC,KHSE,US,Hatteras,HNC,35.23177,-75.62125,America/New_York,
"Biloxi, Keesler Air Force Base, Navu",BIX,KBIX,US,Biloxi,PGL,30.41078,-88.92188,America/Chicago,
Birch Creek Airport,KBC,,US,Birch Creek,KBC,66.2698,-145.8186,America/Anchorage,
Birchwood Airport,,PABV,US,Birchwood,ANC,61.41611,-149.50861,America/Anchorage,
Birmingham-Shuttlesworth International Airport,BHM,KBHM,US,Birmingham,BHM,33.56166,-86.75254,America/Chicago,7117.0
Bisbee-Douglas International Airport,DUG,KDUG,US,Douglas Bisbee,,31.46899,-109.60424,America/Phoenix,
Bisbee Municipal Airport,BSQ,,US,Bisbee,FHU,31.37092,-109.88502,America/Phoenix,
Bishop Airport,BIH,KBIH,US,Bishop,BIH,37.37437,-118.36789,America/Los_Angeles,
Bishop International Airport,FNT,KFNT,US,Flint,FNT,42.96531,-83.74329,America/Detroit,910.0
Bismarck Municipal Airport,BIS,KBIS,US,Bismarck,BIS,46.77622,-100.75763,America/Chicago,1699.0
Black Hills Airport,SPF,KSPF,US,Spearfish,,44.47971,-103.78076,America/Denver,
Black River Falls Area Airport,,KBCK,US,Black River Falls,,44.25299,-90.84774,America/Chicago,
Black Rock Airport,,KZUN,US,,,35.08323,-108.79178,America/Denver,
Blackwell-Tonkawa Municipal Airport,,KBKN,US,Blackwell,PNC,36.74898,-97.34806,America/Chicago,
Blair Executive Airport,,KBTA,US,Blair,,41.414908,-96.109136,America/Chicago,
Blairsville Airport,,KDZJ,US,Blairsville,,34.85283,-83.99878,America/New_York,
Blake Field,,KAJZ,US,Delta,,38.78094,-108.06739,America/Denver,
Blake Sky Park Airport (Private),,,US,Napa,APC,38.45755,-122.05038,America/Los_Angeles,
Blakely Island Airport,BYW,,US,Blakely Island,BLI,48.58001,-122.82362,America/Los_Angeles,
Blanding Municipal Airport,BDG,KBDG,US,Blanding,,37.58303,-109.48329,America/Denver,
BLM Fire Center Heliport,,,US,Grand Junction,GJT,39.11748,-108.53954,America/Denver,
Block Island State Airport,BID,KBID,US,Block Island,BID,41.16816,-71.57783,America/New_York,
Blosser Municipal Airport,CNK,KCNK,US,Concordia,,39.54306,-97.65337,America/Chicago,
Bloyer Field Airport,,,US,,,43.97321,-90.48528,America/Chicago,
Blue Canyon-Nyack Airport,BLU,KBLU,US,Emigrant Gap,,39.27462,-120.71021,America/Los_Angeles,
Blue Earth Municipal Airport,,KSBU,US,Blue Earth,,43.59595,-94.08885,America/Chicago,
Blue Grass Airport,LEX,KLEX,US,Lexington,LEX,38.03702,-84.60522,America/New_York,4772.0
Blue Mountain Airport,VBM,,US,Blue Mountain,,57.8575,-157.08667,America/Anchorage,
Blue Ridge Airport,,KMTV,US,Martinsville,,36.63226,-80.01802,America/New_York,
Blythe Airport,BLH,KBLH,US,Blythe,BLH,33.61891,-114.71746,America/Los_Angeles,
Blytheville Municipal Airport,HKA,KHKA,US,Blytheville,,35.94035,-89.83064,America/Chicago,
Bob Baker Memorial Airport,IAN,PAIK,US,Kiana,IAN,66.97467,-160.43983,America/Anchorage,
Bob Sikes Airport,CEW,KCEW,US,Crestview,CEW,30.7788,-86.5219,America/Chicago,
Bob White Field,,,US,Zellwood,,28.735055,-81.62694,America/New_York,
Bob Wiley Field,,KSFD,US,,,43.39167,-99.8504,America/Chicago,
Bobs,,BOBS,US,Bradford,,35.391523,-91.443706,America/Chicago,
Boca Raton Brightline Railway Station,RRN,,US,Boca Raton,BCT,26.35361,-80.08722,America/New_York,
Boca Raton Airport,BCT,KBCT,US,Boca Raton,BCT,26.37897,-80.10699,America/New_York,
Boire Field,ASH,KASH,US,Nashua,ASH,42.78175,-71.51423,America/New_York,
Boise Air Terminal,BOI,KBOI,US,Boise,BOI,43.56156,-116.23984,America/Boise,9744.0
