itinerary_id,stop_count,duration_in_hours,one_way_price_candollar,cabin_class_id,operating_airline_id,marketing_airline_id
18467-2504160900--31722-1-10968-2504161332,1,2.02,420,cc1,al15,al15
18467-2504160900--31722-1-10968-2504161332,1,2.78,420,cc1,al15,al15
18467-2504161100--31722-1-10968-2504161602,1,2.05,420,cc1,al13,al15
18467-2504161100--31722-1-10968-2504161602,1,2.78,420,cc1,al15,al15
18467-2504161324--32385-1-10910-2504161751,1,2.27,608,cc2,al4,al4
18467-2504161134--32385-1-10968-2504161634,1,2.25,608,cc2,al4,al4
18467-2504161134--32385-1-10968-2504161634,1,2.35,608,cc2,al4,al4
18467-2504161720--32573-0-10968-2504162000,0,3.67,527,cc3,al2,al2
18467-2504160645--32573-0-10968-2504160929,0,3.73,527,cc3,al2,al2
18467-2504161329--32573-0-10968-2504161614,0,3.75,527,cc3,al5,al2
18467-2504161940--31722-0-10968-2504162214,0,3.57,596,cc4,al3,al15
18467-2504161400--31722-0-10968-2504161634,0,3.57,708,cc4,al3,al15
18467-2504161820--32573-1-10968-2504162326,1,1.92,549,cc4,al5,al2
18467-2504161820--32573-1-10968-2504162326,1,2.85,549,cc4,al2,al2
18467-2504161514--32573-1-10968-2504162131,1,1.92,549,cc4,al5,al2
18467-2504161514--32573-1-10968-2504162131,1,2.77,549,cc4,al2,al2
18467-2504160630--32573-1-10968-2504161256,1,1.92,549,cc4,al5,al2
18467-2504160630--32573-1-10968-2504161256,1,2.68,549,cc4,al2,al2
18467-2504161315--32573-1-10968-2504162131,1,1.92,549,cc4,al5,al2
18467-2504161315--32573-1-10968-2504162131,1,2.77,549,cc4,al2,al2
"18390-2504170700--31954,-31825-2-10968-2504171642",2,0.98,363,cc1,al10,al11
"18390-2504170745--31954,-31825-2-10968-2504172316",2,2.52,334,cc1,al14,al14
"18390-2504170645--31954,-31825-2-10968-2504172316",2,2.52,312,cc1,al14,al14
18467-2504171324--32385-1-10910-2504171751,1,2.27,860,cc2,al4,al4
18467-2504171134--32385-1-10968-2504171634,1,2.25,808,cc2,al4,al4
18467-2504171134--32385-1-10968-2504171634,1,2.35,808,cc2,al4,al4
18467-2504171324--32385-1-10968-2504171835,1,2.27,808,cc2,al4,al4
