itinerary_id,itineraries
it189,18467-2504131100--31722-1-10968-2504131602
it190,"18390-2504140700--31954,-31825-2-10968-2504141642"
it191,"18390-2504141305--31954,-31825-3-10968-2504150952"
it192,"18390-2504141015--31954,-31825-3-10968-2504150952"
it193,18467-2504141324--32385-1-10910-2504141751
it194,18467-2504140615--32385-1-10910-2504141126
it195,18467-2504141720--32573-0-10968-2504142000
it196,18467-2504140645--32573-0-10968-2504140929
it197,18467-2504141329--32573-0-10968-2504141614
it198,18467-2504141400--31722-0-10968-2504141634
it199,18467-2504141940--31722-0-10968-2504142214
it200,18467-2504141514--32573-1-10968-2504141916
it201,18467-2504140630--32573-1-10968-2504141056
it202,"18390-2504150700--31954,-31825-2-10968-2504151642"
it203,"18390-2504150745--31954,-31825-2-10968-2504152316"
it204,"18390-2504150645--31954,-31825-2-10968-2504152316"
it205,18467-2504151324--32385-1-10910-2504151751
it206,18467-2504150615--32385-1-10910-2504151105
it207,18467-2504151134--32385-1-10968-2504151634
it208,18467-2504150745--32385-1-10968-2504151253
it209,18467-2504151720--32573-0-10968-2504152000
it210,18467-2504150645--32573-0-10968-2504150929
it211,18467-2504151329--32573-0-10968-2504151614
it212,18467-2504151940--31722-0-10968-2504152214
it213,18467-2504151400--31722-0-10968-2504151634
it214,18467-2504151514--32573-1-10968-2504151916
it215,18467-2504150630--32573-1-10968-2504151056
it216,18467-2504151315--32573-1-10968-2504151756
it217,18467-2504151135--32573-1-10968-2504151756
it218,18467-2504161940--31722-0-10968-2504162214
it219,18467-2504161400--31722-0-10968-2504161634
it220,18467-2504161324--32385-1-10910-2504161751
it221,18467-2504160900--31722-1-10968-2504161332
it222,18467-2504161100--31722-1-10968-2504161602
it223,18467-2504161134--32385-1-10968-2504161634
it224,18467-2504161720--32573-0-10968-2504162000
it225,18467-2504160645--32573-0-10968-2504160929
it226,18467-2504161329--32573-0-10968-2504161614
it227,18467-2504161820--32573-1-10968-2504162326
it228,18467-2504161514--32573-1-10968-2504162131
it229,18467-2504160630--32573-1-10968-2504161256
it230,18467-2504161315--32573-1-10968-2504162131
it231,"18390-2504170700--31954,-31825-2-10968-2504171642"
it232,"18390-2504170745--31954,-31825-2-10968-2504172316"
it233,"18390-2504170645--31954,-31825-2-10968-2504172316"
it234,18467-2504171324--32385-1-10910-2504171751
it235,18467-2504171134--32385-1-10968-2504171634
it236,18467-2504171324--32385-1-10968-2504171835
it237,18467-2504171720--32573-0-10968-2504172000
it238,18467-2504170645--32573-0-10968-2504170929
it239,18467-2504171329--32573-0-10968-2504171614
it240,18467-2504171400--31722-0-10968-2504171634
it241,18467-2504171940--31722-0-10968-2504172214
it242,18467-2504170630--32573-1-10968-2504171056
it243,18467-2504170900--31722-1-10968-2504171332
it244,18467-2504170800--31722-1-10968-2504171332
it245,18467-2504181324--31679-1-10910-2504181751
it246,18467-2504181324--32385-1-10910-2504181751
it247,18467-2504181134--31679-1-10968-2504181634
it248,18467-2504181559--32385-2-10968-2504182356
it249,18467-2504181134--32385-1-10968-2504181634
it250,18467-2504181720--32573-0-10968-2504182000
it251,18467-2504180645--32573-0-10968-2504180929
it252,18467-2504181329--32573-0-10968-2504181614
it253,18467-2504181400--31722-0-10968-2504181634
it254,18467-2504180630--32573-1-10968-2504181056
it255,18467-2504180900--31722-1-10968-2504181332
it256,18467-2504181100--31722-1-10968-2504181602
it257,"18390-2504191430--31954,-31825-3-10968-2504200718"
it258,18467-2504191324--32385-1-10910-2504191751
it259,18467-2504190615--32385-1-10910-2504191105
it260,18467-2504190745--32385-1-10968-2504191253
it261,18467-2504191134--32385-1-10968-2504191646
it262,18467-2504191720--32573-0-10968-2504192000
it263,18467-2504190645--32573-0-10968-2504190929
it264,18467-2504191329--32573-0-10968-2504191614
it265,18467-2504191400--31722-0-10968-2504191634
it266,18467-2504191940--31722-0-10968-2504192214
it267,18467-2504191514--32573-1-10968-2504191916
it268,18467-2504190630--32573-1-10968-2504191056
it269,18467-2504191315--32573-1-10968-2504191756
it270,18467-2504191135--32573-1-10968-2504191756
it271,18467-2504201720--32573-0-10968-2504202000
it272,18467-2504200645--32573-0-10968-2504200929
it273,18467-2504201329--32573-0-10968-2504201614
it274,18467-2504200945--32385-2-10968-2504201835
it275,18467-2504201324--32385-1-10910-2504201751
it276,18467-2504201134--32385-1-10968-2504201634
it277,18467-2504201400--31722-0-10968-2504201634
it278,18467-2504201940--31722-0-10968-2504202214
it279,18467-2504201514--32573-1-10968-2504201916
it280,18467-2504200900--31722-1-10968-2504201327
it281,18467-2504211720--32573-0-10968-2504212000
it282,18467-2504210645--32573-0-10968-2504210929
it283,18467-2504211329--32573-0-10968-2504211614
it284,18467-2504211135--32573-1-10968-2504211916
it285,18467-2504211514--32573-1-10968-2504212326
it286,18467-2504211324--32385-1-10910-2504211751
it287,18467-2504211324--32385-1-10968-2504211835
it288,18467-2504211940--31722-0-10968-2504212214
it289,18467-2504211400--31722-0-10968-2504211634
it290,18467-2504211514--32573-1-10968-2504211916
it291,18467-2504211135--32573-1-10968-2504211756
it292,"18390-2504220700--31954,-31825-2-10968-2504221642"
it293,"18390-2504220745--31954,-31825-2-10968-2504222316"
it294,"18390-2504220645--31954,-31825-2-10968-2504222316"
it295,18467-2504221324--32385-1-10910-2504221751
it296,18467-2504220615--32385-1-10910-2504221105
it297,18467-2504221134--32385-1-10968-2504221634
it298,18467-2504220745--32385-1-10968-2504221253
it299,18467-2504221720--32573-0-10968-2504222000
it300,18467-2504220645--32573-0-10968-2504220929
it301,18467-2504221329--32573-0-10968-2504221614
it302,18467-2504221940--31722-0-10968-2504222214
it303,18467-2504221400--31722-0-10968-2504221634
it304,18467-2504221820--32573-1-10968-2504222326
it305,18467-2504221315--32573-1-10968-2504221916
it306,18467-2504231400--31722-0-10968-2504231634
it307,18467-2504231940--31722-0-10968-2504232214
it308,18467-2504230900--31722-1-10968-2504231332
it309,18467-2504230615--32385-1-10910-2504231105
it310,18467-2504231324--32385-1-10910-2504231751
it311,18467-2504231134--32385-1-10968-2504231634
it312,18467-2504230615--32385-1-10968-2504231253
it313,18467-2504231400--32695-0-10968-2504231634
it314,18467-2504231940--32695-0-10968-2504232214
it315,18467-2504231720--32573-0-10968-2504232000
it316,18467-2504230645--32573-0-10968-2504230929
it317,18467-2504231329--32573-0-10968-2504231614
it318,18467-2504231400--32695-1-10968-2504231832
it319,18467-2504231730--32695-1-10968-2504232250
it320,18467-2504230800--32695-1-10968-2504231332
it321,18467-2504231700--32695-1-10968-2504232245
it322,18467-2504231618--32695-1-10968-2504232344
it323,18467-2504230630--32573-1-10968-2504231056
it324,18467-2504231820--32573-1-10968-2504232326
it325,18467-2504230630--32573-1-10968-2504231256
it326,18467-2504241324--31679-1-10910-2504241751
it327,18467-2504240615--31679-1-10910-2504241126
it328,18467-2504241134--31679-1-10910-2504241751
it329,18467-2504241324--31679-1-10910-2504242148
it330,18467-2504240745--31679-1-10910-2504241751
it331,18467-2504241134--31679-1-10910-2504242148
it332,18467-2504240745--31679-1-10910-2504242148
it333,18467-2504241820--31679-1-10910-2504250926
it334,18467-2504241324--31679-1-10910-2504250926
it335,18467-2504241134--31679-1-10910-2504250926
it336,18467-2504241324--32385-1-10910-2504241751
it337,18467-2504241134--32385-1-10968-2504241634
it338,18467-2504240745--32385-1-10968-2504241253
it339,18467-2504240615--32385-1-10910-2504241126
it340,18467-2504241820--32385-1-10968-2504242356
it341,18467-2504241720--32573-0-10968-2504242000
it342,18467-2504240645--32573-0-10968-2504240929
it343,18467-2504241329--32573-0-10968-2504241614
it344,18467-2504241514--32573-1-10968-2504241916
it345,18467-2504240630--32573-1-10968-2504241056
it346,18467-2504251324--31679-1-10910-2504251751
it347,18467-2504251134--32385-1-10968-2504251634
it348,18467-2504251324--32385-1-10910-2504251751
it349,18467-2504250745--32385-1-10968-2504251253
it350,18467-2504251720--32573-0-10968-2504252000
it351,18467-2504250645--32573-0-10968-2504250929
it352,18467-2504251329--32573-0-10968-2504251614
it353,18467-2504251940--31722-0-10968-2504252214
it354,18467-2504251400--31722-0-10968-2504251634
it355,18467-2504250630--32573-1-10968-2504251056
it356,18467-2504251100--31722-1-10968-2504251602
it357,18467-2504261400--31722-0-10968-2504261634
it358,18467-2504261940--31722-0-10968-2504262214
it359,18467-2504261324--32385-1-10910-2504261751
it360,18467-2504261134--32385-1-10968-2504261646
it361,18467-2504261134--32385-1-10910-2504261751
it362,18467-2504260615--32385-1-10910-2504261105
it363,18467-2504260745--32385-1-10968-2504261253
it364,18467-2504261400--32695-0-10968-2504261634
it365,18467-2504261940--32695-0-10968-2504262214
it366,18467-2504261720--32573-0-10968-2504262000
it367,18467-2504260645--32573-0-10968-2504260929
it368,18467-2504261329--32573-0-10968-2504261614
it369,18467-2504261100--32695-1-10968-2504261602
it370,18467-2504260700--32695-1-10968-2504261217
it371,18467-2504261015--32695-1-10968-2504261628
it372,18467-2504260900--32695-1-10968-2504261602
it373,18467-2504261618--32695-1-10968-2504262344
it374,18467-2504260630--32573-1-10968-2504261056
it375,18467-2504271400--31722-0-10968-2504271634
it376,18467-2504271940--31722-0-10968-2504272214
it377,18467-2504271324--31679-1-10910-2504271751
it378,18467-2504271324--32385-1-10910-2504271751
it379,18467-2504271134--31679-1-10968-2504271634
it380,18467-2504271324--31679-1-10968-2504271835
it381,18467-2504271134--31679-1-10910-2504271751
it382,18467-2504271134--32385-1-10968-2504271634
it383,18467-2504270615--32385-1-10910-2504271126
it384,18467-2504271400--32695-0-10968-2504271634
it385,18467-2504271940--32695-0-10968-2504272214
it386,18467-2504271720--32573-0-10968-2504272000
it387,18467-2504270645--32573-0-10968-2504270929
it388,18467-2504271329--32573-0-10968-2504271614
it389,18467-2504271400--32695-1-10968-2504271832
it390,18467-2504271100--32695-1-10968-2504271602
it391,18467-2504270800--32695-1-10968-2504271327
it392,18467-2504271700--32695-1-10968-2504272245
it393,18390-2504271525--32695-1-10968-2504272245
it394,18467-2504271514--32573-1-10968-2504271916
it395,18467-2504270630--32573-1-10968-2504271056
it396,18467-2504271315--32573-1-10968-2504271756
it397,18467-2504271324--32385-1-10968-2504271835
it398,18467-2504281324--31679-1-10910-2504281751
it399,18467-2504280615--31679-1-10910-2504281126
it400,18467-2504281810--31679-1-10968-2504282356
it401,"18390-2504280700--31954,-31825-2-10968-2504281642"
it402,18467-2504281324--32385-1-10910-2504281751
it403,18467-2504280615--32385-1-10910-2504281126
it404,18467-2504281720--32573-0-10968-2504282000
it405,18467-2504280645--32573-0-10968-2504280929
it406,18467-2504281329--32573-0-10968-2504281614
it407,18467-2504281400--31722-0-10968-2504281634
it408,18467-2504281940--31722-0-10968-2504282214
it409,18467-2504280630--32573-1-10968-2504281056
it410,18467-2504291324--32385-1-10910-2504291751
it411,18467-2504291324--31679-1-10910-2504291751
it412,18467-2504291134--32385-1-10968-2504291634
it413,18467-2504290615--32385-1-10910-2504291105
it414,18467-2504290745--32385-1-10968-2504291253
it415,18467-2504291720--32573-0-10968-2504292000
it416,18467-2504290645--32573-0-10968-2504290929
it417,18467-2504291329--32573-0-10968-2504291614
it418,18467-2504291400--31722-0-10968-2504291634
it419,18467-2504291940--31722-0-10968-2504292214
it420,18467-2504291820--32573-1-10968-2504292326
it421,18467-2504291135--32573-1-10968-2504291916
it422,18467-2504301324--32385-1-10910-2504301751
it423,18467-2504301324--31679-1-10910-2504301751
it424,18467-2504300615--32385-1-10910-2504301105
it425,18467-2504301134--32385-1-10968-2504301634
it426,18467-2504301400--32695-0-10968-2504301634
it427,18467-2504301940--32695-0-10968-2504302214
it428,18467-2504301720--32573-0-10968-2504302000
it429,18467-2504300645--32573-0-10968-2504300929
it430,18467-2504301329--32573-0-10968-2504301614
it431,18467-2504301100--32695-1-10968-2504301602
it432,18467-2504301015--32695-1-10968-2504301627
it433,18467-2504300900--32695-1-10968-2504301602
it434,18467-2504301445--32695-1-10968-2504302250
it435,18467-2504301015--32695-1-10968-2504301842
it436,18467-2504301400--31722-0-10968-2504301634
it437,18467-2504301940--31722-0-10968-2504302214
it438,18467-2504300630--32573-1-10968-2504301256
it439,"18390-2508010910--31954,-31825-3-10968-2508012219"
it440,"18390-2508010850--31954,-31825-3-10968-2508012352"
it441,18467-2508011130--32385-1-10910-2508011534
