itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,duration_minutes,stop_count,marketing_airline,operating_airline,is_self_transfer,score,Departure Date,Departure Time,Arrival Date,Arrival Time
18467-2601031005--32385-2-10968-2601031909,economy,C$440,436,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,149,2,United Airlines,United Airlines,False,0.470543,2026-01-03,17:40:00,2026-01-03,19:09:00
18467-2601030615--32385-1-10910-2601031116,premium_economy,C$808,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,Delta Air Lines,Delta Air Lines,False,0.475688,2026-01-03,06:15:00,2026-01-03,08:50:00
18467-2601030615--32385-1-10910-2601031455,premium_economy,C$645,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,Air Canada,United Airlines,False,0.463619,2026-01-03,06:15:00,2026-01-03,08:50:00
18467-2601030615--32385-1-10968-2601031510,premium_economy,C$645,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,155,1,Air Canada,Republic Airline United Express,False,0.463822,2026-01-03,06:15:00,2026-01-03,08:50:00
18467-2601030615--32385-1-10968-2601031510,premium_economy,C$645,921,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,145,1,Air Canada,United Airlines,False,0.463822,2026-01-03,13:45:00,2026-01-03,15:10:00
18467-2601031005--32385-2-10968-2601031909,premium_economy,C$608,436,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,149,2,Air Canada,United Airlines,False,0.465195,2026-01-03,17:40:00,2026-01-03,19:09:00
18467-2601031825--32573-0-10968-2601032105,business,C$668,1111,Toronto Pearson International,Dallas Fort Worth International,220,0,Air Canada,United Airlines,False,0.422776,2026-01-03,18:25:00,2026-01-03,21:05:00
18467-2601031400--32695-0-10968-2601031642,business,C$598,1031,Toronto Pearson International,Dallas Fort Worth International,222,0,United Airlines,Air Canada,False,0.999,2026-01-03,14:00:00,2026-01-03,16:42:00
18467-2601031940--32695-0-10968-2601032222,business,C$598,1033,Toronto Pearson International,Dallas Fort Worth International,222,0,United Airlines,Air Canada,False,0.763006,2026-01-03,19:40:00,2026-01-03,22:22:00
18467-2601030809--32573-0-10968-2601031054,business,C$668,1169,Toronto Pearson International,Dallas Fort Worth International,225,0,United Airlines,SkyWest Delta Connection,False,0.623065,2026-01-03,08:09:00,2026-01-03,10:54:00
18467-2601031405--32573-0-10968-2601031705,business,C$668,3993,Toronto Pearson International,Dallas Fort Worth International,240,0,United Airlines,United Airlines,False,0.462963,2026-01-03,14:05:00,2026-01-03,17:05:00
18467-2601030900--32695-1-10968-2601031311,business,"C$1,588",5143,Toronto Pearson International,Chicago O'Hare International,115,1,United Airlines,Republic Airline United Express,False,0.287502,2026-01-03,09:00:00,2026-01-03,09:55:00
18467-2601030900--32695-1-10968-2601031311,business,"C$1,588",3658,Chicago O'Hare International,Dallas Fort Worth International,146,1,United Airlines,United Airlines,False,0.287502,2026-01-03,10:45:00,2026-01-03,13:11:00
