itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,departure_time,arrival_time,stop_count,marketing_airline,operating_airline,is_self_transfer,score,duration_in_hours
18467-2504030745--32385-1-10968-2504031243,premium_economy,C$581,2988,YYZ,ATL,2025-04-03T07:45:00,2025-04-03T10:08:00,1,Delta Air Lines,Delta Air Lines,False,0.61953,2.38
18467-2504030745--32385-1-10968-2504031243,premium_economy,C$581,414,ATL,DFW,2025-04-03T11:22:00,2025-04-03T12:43:00,1,Delta Air Lines,Delta Air Lines,False,0.61953,2.35
18467-2504030615--32385-1-10910-2504031126,premium_economy,C$581,2662,YYZ,ATL,2025-04-03T06:15:00,2025-04-03T08:44:00,1,Delta Air Lines,Delta Air Lines,False,0.596392,2.48
18467-2504031815--32385-1-10968-2504032357,premium_economy,C$581,2714,YYZ,ATL,2025-04-03T18:15:00,2025-04-03T20:39:00,1,Delta Air Lines,Delta Air Lines,False,0.550844,2.4
18467-2504031815--32385-1-10968-2504032357,premium_economy,C$581,818,ATL,DFW,2025-04-03T22:34:00,2025-04-03T23:57:00,1,Delta Air Lines,Delta Air Lines,False,0.550844,2.38
18467-2504031324--32573-0-10968-2504031614,business,C$593,3993,YYZ,DFW,2025-04-03T13:24:00,2025-04-03T16:14:00,0,American Airlines,Envoy Air,False,0.999,3.83
18467-2504030645--32573-0-10968-2504030940,business,C$649,1169,YYZ,DFW,2025-04-03T06:45:00,2025-04-03T09:40:00,0,American Airlines,American Airlines,False,0.800869,3.92
18467-2504031715--32573-0-10968-2504032010,business,C$788,1111,YYZ,DFW,2025-04-03T17:15:00,2025-04-03T20:10:00,0,American Airlines,American Airlines,False,0.736555,3.92
18467-2504031400--31722-0-10968-2504031634,first,C$596,8130,YYZ,DFW,2025-04-03T14:00:00,2025-04-03T16:34:00,0,United Airlines,Air Canada,False,0.999,3.57
18467-2504031940--31722-0-10968-2504032214,first,C$596,8019,YYZ,DFW,2025-04-03T19:40:00,2025-04-03T22:14:00,0,United Airlines,Air Canada,False,0.781093,3.57
18467-2504030615--32573-1-10968-2504031047,first,C$549,3524,YYZ,ORD,2025-04-03T06:15:00,2025-04-03T07:30:00,1,American Airlines,Envoy Air,False,0.562752,2.25
18467-2504030615--32573-1-10968-2504031047,first,C$549,481,ORD,DFW,2025-04-03T08:05:00,2025-04-03T10:47:00,1,American Airlines,American Airlines,False,0.562752,2.7
18467-2504040745--31679-1-10968-2504041243,economy,C$486,6340,YYZ,ATL,2025-04-04T07:45:00,2025-04-04T10:08:00,1,Westjet,Delta Air Lines,False,0.41877,2.38
18467-2504040745--31679-1-10968-2504041243,economy,C$486,6482,ATL,DFW,2025-04-04T11:22:00,2025-04-04T12:43:00,1,Westjet,Delta Air Lines,False,0.41877,2.35
18467-2504040615--31679-1-10910-2504041126,economy,C$489,8135,YYZ,ATL,2025-04-04T06:15:00,2025-04-04T08:44:00,1,Westjet,Delta Air Lines,False,0.407997,2.48
18467-2504041815--31679-1-10968-2504042357,economy,C$457,6768,YYZ,ATL,2025-04-04T18:15:00,2025-04-04T20:39:00,1,Westjet,Delta Air Lines,False,0.39218,2.4
18467-2504041815--31679-1-10968-2504042357,economy,C$457,6499,ATL,DFW,2025-04-04T22:34:00,2025-04-04T23:57:00,1,Westjet,Delta Air Lines,False,0.39218,2.38
18467-2504040745--31679-1-10910-2504041513,economy,C$460,6340,YYZ,ATL,2025-04-04T07:45:00,2025-04-04T10:08:00,1,Westjet,Delta Air Lines,False,0.395028,2.38
18467-2504040615--31679-1-10910-2504041513,economy,C$460,8135,YYZ,ATL,2025-04-04T06:15:00,2025-04-04T08:44:00,1,Westjet,Delta Air Lines,False,0.398432,2.48
18467-2504040615--32385-1-10910-2504041126,premium_economy,C$581,2662,YYZ,ATL,2025-04-04T06:15:00,2025-04-04T08:44:00,1,Delta Air Lines,Delta Air Lines,False,0.496925,2.48
18467-2504041815--32385-1-10968-2504042357,premium_economy,C$581,2714,YYZ,ATL,2025-04-04T18:15:00,2025-04-04T20:39:00,1,Delta Air Lines,Delta Air Lines,False,0.494753,2.4
18467-2504041815--32385-1-10968-2504042357,premium_economy,C$581,818,ATL,DFW,2025-04-04T22:34:00,2025-04-04T23:57:00,1,Delta Air Lines,Delta Air Lines,False,0.494753,2.38
18467-2504041720--32573-0-10968-2504042000,business,C$527,1111,YYZ,DFW,2025-04-04T17:20:00,2025-04-04T20:00:00,0,American Airlines,American Airlines,False,0.999,3.67
18467-2504040645--32573-0-10968-2504040929,business,C$649,1169,YYZ,DFW,2025-04-04T06:45:00,2025-04-04T09:29:00,0,American Airlines,American Airlines,False,0.798421,3.73
18467-2504041329--32573-0-10968-2504041614,business,C$593,3993,YYZ,DFW,2025-04-04T13:29:00,2025-04-04T16:14:00,0,American Airlines,Envoy Air,False,0.931966,3.75
18467-2504041514--32573-1-10968-2504041916,first,"C$1,173",3608,YYZ,ORD,2025-04-04T15:14:00,2025-04-04T16:09:00,1,American Airlines,Envoy Air,False,0.488692,1.92
18467-2504041514--32573-1-10968-2504041916,first,"C$1,173",2499,ORD,DFW,2025-04-04T16:45:00,2025-04-04T19:16:00,1,American Airlines,American Airlines,False,0.488692,2.52
18467-2504040630--32573-1-10968-2504041056,first,C$809,3524,YYZ,ORD,2025-04-04T06:30:00,2025-04-04T07:25:00,1,American Airlines,Envoy Air,False,0.537924,1.92
18467-2504040630--32573-1-10968-2504041056,first,C$809,481,ORD,DFW,2025-04-04T08:15:00,2025-04-04T10:56:00,1,American Airlines,American Airlines,False,0.537924,2.68
18467-2504041315--32573-1-10968-2504041756,first,C$809,3606,YYZ,ORD,2025-04-04T13:15:00,2025-04-04T14:10:00,1,American Airlines,Envoy Air,False,0.506744,1.92
18467-2504041315--32573-1-10968-2504041756,first,C$809,2257,ORD,DFW,2025-04-04T15:18:00,2025-04-04T17:56:00,1,American Airlines,American Airlines,False,0.506744,2.63
18467-2504051220--31679-1-10968-2504051646,economy,C$457,7789,YYZ,ATL,2025-04-05T12:20:00,2025-04-05T14:37:00,1,Westjet,Delta Air Lines,False,0.999,2.28
18467-2504051220--31679-1-10968-2504051646,economy,C$457,6498,ATL,DFW,2025-04-05T15:25:00,2025-04-05T16:46:00,1,Westjet,Delta Air Lines,False,0.999,2.35
18467-2504050745--31679-1-10968-2504051243,economy,C$457,6340,YYZ,ATL,2025-04-05T07:45:00,2025-04-05T10:08:00,1,Westjet,Delta Air Lines,False,0.65733,2.38
18467-2504050745--31679-1-10968-2504051243,economy,C$457,6482,ATL,DFW,2025-04-05T11:22:00,2025-04-05T12:43:00,1,Westjet,Delta Air Lines,False,0.65733,2.35
18467-2504051815--31679-1-10968-2504052357,economy,C$457,6768,YYZ,ATL,2025-04-05T18:15:00,2025-04-05T20:39:00,1,Westjet,Delta Air Lines,False,0.600266,2.4
18467-2504051815--31679-1-10968-2504052357,economy,C$457,6499,ATL,DFW,2025-04-05T22:34:00,2025-04-05T23:57:00,1,Westjet,Delta Air Lines,False,0.600266,2.38
18467-2504050615--31679-1-10968-2504051243,economy,C$457,8135,YYZ,ATL,2025-04-05T06:15:00,2025-04-05T08:46:00,1,Westjet,Delta Air Lines,False,0.55059,2.52
18467-2504050615--31679-1-10968-2504051243,economy,C$457,6482,ATL,DFW,2025-04-05T11:22:00,2025-04-05T12:43:00,1,Westjet,Delta Air Lines,False,0.55059,2.35
18467-2504051220--32385-1-10968-2504051646,premium_economy,C$608,2835,YYZ,ATL,2025-04-05T12:20:00,2025-04-05T14:37:00,1,Delta Air Lines,Delta Air Lines,False,0.999,2.28
18467-2504051220--32385-1-10968-2504051646,premium_economy,C$608,374,ATL,DFW,2025-04-05T15:25:00,2025-04-05T16:46:00,1,Delta Air Lines,Delta Air Lines,False,0.999,2.35
18467-2504050615--32385-1-10910-2504051105,premium_economy,C$581,2662,YYZ,ATL,2025-04-05T06:15:00,2025-04-05T08:46:00,1,Delta Air Lines,Delta Air Lines,False,0.561613,2.52
18467-2504050745--32385-1-10968-2504051243,premium_economy,C$581,2988,YYZ,ATL,2025-04-05T07:45:00,2025-04-05T10:08:00,1,Delta Air Lines,Delta Air Lines,False,0.556429,2.38
18467-2504050745--32385-1-10968-2504051243,premium_economy,C$581,414,ATL,DFW,2025-04-05T11:22:00,2025-04-05T12:43:00,1,Delta Air Lines,Delta Air Lines,False,0.556429,2.35
18467-2504051220--32385-1-10910-2504051751,premium_economy,C$608,2835,YYZ,ATL,2025-04-05T12:20:00,2025-04-05T14:37:00,1,Delta Air Lines,Delta Air Lines,False,0.51274,2.28
18467-2504051815--32385-1-10968-2504052357,premium_economy,C$581,2714,YYZ,ATL,2025-04-05T18:15:00,2025-04-05T20:39:00,1,Delta Air Lines,Delta Air Lines,False,0.498563,2.4
18467-2504051815--32385-1-10968-2504052357,premium_economy,C$581,818,ATL,DFW,2025-04-05T22:34:00,2025-04-05T23:57:00,1,Delta Air Lines,Delta Air Lines,False,0.498563,2.38
18467-2504051720--32573-0-10968-2504052000,business,C$527,1111,YYZ,DFW,2025-04-05T17:20:00,2025-04-05T20:00:00,0,American Airlines,American Airlines,False,0.82165,3.67
18467-2504050645--32573-0-10968-2504050929,business,C$788,1169,YYZ,DFW,2025-04-05T06:45:00,2025-04-05T09:29:00,0,American Airlines,American Airlines,False,0.550725,3.73
18467-2504051329--32573-0-10968-2504051614,business,C$555,3993,YYZ,DFW,2025-04-05T13:29:00,2025-04-05T16:14:00,0,American Airlines,Envoy Air,False,0.999,3.75
18467-2504051400--31722-0-10968-2504051634,first,C$596,8130,YYZ,DFW,2025-04-05T14:00:00,2025-04-05T16:34:00,0,United Airlines,Air Canada,False,0.999,3.57
18467-2504051940--31722-0-10968-2504052214,first,C$596,8019,YYZ,DFW,2025-04-05T19:40:00,2025-04-05T22:14:00,0,United Airlines,Air Canada,False,0.745038,3.57
18467-2504050630--32573-1-10968-2504051056,first,C$809,3524,YYZ,ORD,2025-04-05T06:30:00,2025-04-05T07:25:00,1,American Airlines,Envoy Air,False,0.381885,1.92
18467-2504050630--32573-1-10968-2504051056,first,C$809,481,ORD,DFW,2025-04-05T08:15:00,2025-04-05T10:56:00,1,American Airlines,American Airlines,False,0.381885,2.68
18467-2504050615--32385-1-10910-2504051105,first,C$770,2662,YYZ,ATL,2025-04-05T06:15:00,2025-04-05T08:46:00,1,Delta Air Lines,Delta Air Lines,False,0.386668,2.52
18467-2504050800--31722-1-10968-2504051322,first,C$618,8533,YYZ,ORD,2025-04-05T08:00:00,2025-04-05T08:55:00,1,United Airlines,Jazz Aviation,False,0.377554,1.92
18467-2504050800--31722-1-10968-2504051322,first,C$618,307,ORD,DFW,2025-04-05T10:35:00,2025-04-05T13:22:00,1,United Airlines,United Airlines,False,0.377554,2.78
18467-2504050700--31722-1-10968-2504051322,first,C$618,3449,YYZ,ORD,2025-04-05T07:00:00,2025-04-05T08:03:00,1,United Airlines,Republic Airline United Express,False,0.376416,2.05
18467-2504050700--31722-1-10968-2504051322,first,C$618,307,ORD,DFW,2025-04-05T10:35:00,2025-04-05T13:22:00,1,United Airlines,United Airlines,False,0.376416,2.78
"18390-2504060700--31954,-31825-2-10968-2504061735",economy,C$329,2205,YTZ,YOW,2025-04-06T07:00:00,2025-04-06T07:59:00,2,Porter Airlines, Porter Airlines Inc,True,0.527687,0.98
"18390-2504061155--31954,-31825-2-10968-2504062254",economy,C$370,611,ATL,DFW,2025-04-06T21:15:00,2025-04-06T22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.461967,2.65
"18390-2504060700--31954,-31825-3-10968-2504062358",economy,C$296,2205,YTZ,YOW,2025-04-06T07:00:00,2025-04-06T07:59:00,3,Porter Airlines, Porter Airlines Inc,True,0.440615,0.98
18467-2504060615--32385-1-10910-2504061126,premium_economy,C$581,2662,YYZ,ATL,2025-04-06T06:15:00,2025-04-06T08:44:00,1,Delta Air Lines,Delta Air Lines,False,0.506441,2.48
18467-2504061720--32573-0-10968-2504062000,business,C$527,1111,YYZ,DFW,2025-04-06T17:20:00,2025-04-06T20:00:00,0,American Airlines,American Airlines,False,0.999,3.67
18467-2504060645--32573-0-10968-2504060929,business,C$649,1169,YYZ,DFW,2025-04-06T06:45:00,2025-04-06T09:29:00,0,American Airlines,American Airlines,False,0.794794,3.73
18467-2504061329--32573-0-10968-2504061614,business,C$649,3993,YYZ,DFW,2025-04-06T13:29:00,2025-04-06T16:14:00,0,American Airlines,Envoy Air,False,0.90264,3.75
18467-2504061400--31722-0-10968-2504061634,first,C$827,8130,YYZ,DFW,2025-04-06T14:00:00,2025-04-06T16:34:00,0,United Airlines,Air Canada,False,0.999,3.57
18467-2504061940--31722-0-10968-2504062214,first,C$827,8019,YYZ,DFW,2025-04-06T19:40:00,2025-04-06T22:14:00,0,United Airlines,Air Canada,False,0.758762,3.57
18467-2504060630--32573-1-10968-2504061056,first,C$670,3524,YYZ,ORD,2025-04-06T06:30:00,2025-04-06T07:25:00,1,American Airlines,Envoy Air,False,0.520456,1.92
18467-2504060630--32573-1-10968-2504061056,first,C$670,481,ORD,DFW,2025-04-06T08:15:00,2025-04-06T10:56:00,1,American Airlines,American Airlines,False,0.520456,2.68
18467-2504060900--31722-1-10968-2504061327,first,C$739,1538,YYZ,ORD,2025-04-06T09:00:00,2025-04-06T10:01:00,1,United Airlines,United Airlines,False,0.508217,2.02
18467-2504060900--31722-1-10968-2504061327,first,C$739,307,ORD,DFW,2025-04-06T10:40:00,2025-04-06T13:27:00,1,United Airlines,United Airlines,False,0.508217,2.78
18467-2504061100--31722-1-10968-2504061602,first,C$618,5578,YYZ,ORD,2025-04-06T11:00:00,2025-04-06T12:03:00,1,United Airlines,SkyWest Airlines,False,0.582172,2.05
18467-2504061100--31722-1-10968-2504061602,first,C$618,2290,ORD,DFW,2025-04-06T13:15:00,2025-04-06T16:02:00,1,United Airlines,United Airlines,False,0.582172,2.78
18467-2504060900--31722-1-10968-2504061602,first,C$618,1538,YYZ,ORD,2025-04-06T09:00:00,2025-04-06T10:01:00,1,United Airlines,United Airlines,False,0.496243,2.02
18467-2504060900--31722-1-10968-2504061602,first,C$618,2290,ORD,DFW,2025-04-06T13:15:00,2025-04-06T16:02:00,1,United Airlines,United Airlines,False,0.496243,2.78
"18390-2504070700--31954,-31825-2-10968-2504071735",economy,C$267,2205,YTZ,YOW,2025-04-07T07:00:00,2025-04-07T07:59:00,2,Porter Airlines, Porter Airlines Inc,True,0.61287,0.98
"18390-2504071155--31954,-31825-2-10968-2504072254",economy,C$296,611,ATL,DFW,2025-04-07T21:15:00,2025-04-07T22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.420574,2.65
18467-2504070615--32385-1-10910-2504071126,premium_economy,C$581,2662,YYZ,ATL,2025-04-07T06:15:00,2025-04-07T08:44:00,1,Delta Air Lines,Delta Air Lines,False,0.593444,2.48
18467-2504071815--32385-1-10968-2504072357,premium_economy,C$581,2714,YYZ,ATL,2025-04-07T18:15:00,2025-04-07T20:39:00,1,Delta Air Lines,Delta Air Lines,False,0.530694,2.4
18467-2504071815--32385-1-10968-2504072357,premium_economy,C$581,818,ATL,DFW,2025-04-07T22:34:00,2025-04-07T23:57:00,1,Delta Air Lines,Delta Air Lines,False,0.530694,2.38
18467-2504070745--32385-1-10910-2504071513,premium_economy,C$581,2988,YYZ,ATL,2025-04-07T07:45:00,2025-04-07T10:08:00,1,Delta Air Lines,Delta Air Lines,False,0.528867,2.38
18467-2504071720--32573-0-10968-2504072000,business,C$527,1111,YYZ,DFW,2025-04-07T17:20:00,2025-04-07T20:00:00,0,American Airlines,American Airlines,False,0.999,3.67
18467-2504070645--32573-0-10968-2504070929,business,C$788,1169,YYZ,DFW,2025-04-07T06:45:00,2025-04-07T09:29:00,0,American Airlines,American Airlines,False,0.657534,3.73
18467-2504071329--32573-0-10968-2504071614,business,C$649,3993,YYZ,DFW,2025-04-07T13:29:00,2025-04-07T16:14:00,0,American Airlines,Envoy Air,False,0.855337,3.75
18467-2504071514--32573-1-10968-2504071916,first,C$809,3608,YYZ,ORD,2025-04-07T15:14:00,2025-04-07T16:09:00,1,American Airlines,Envoy Air,False,0.751478,1.92
18467-2504071514--32573-1-10968-2504071916,first,C$809,2499,ORD,DFW,2025-04-07T16:45:00,2025-04-07T19:16:00,1,American Airlines,American Airlines,False,0.751478,2.52
18467-2504070630--32573-1-10968-2504071056,first,C$670,3524,YYZ,ORD,2025-04-07T06:30:00,2025-04-07T07:25:00,1,American Airlines,Envoy Air,False,0.624834,1.92
18467-2504070630--32573-1-10968-2504071056,first,C$670,481,ORD,DFW,2025-04-07T08:15:00,2025-04-07T10:56:00,1,American Airlines,American Airlines,False,0.624834,2.68
18467-2504071315--32573-1-10968-2504071756,first,C$809,3606,YYZ,ORD,2025-04-07T13:15:00,2025-04-07T14:10:00,1,American Airlines,Envoy Air,False,0.534573,1.92
18467-2504071315--32573-1-10968-2504071756,first,C$809,2257,ORD,DFW,2025-04-07T15:18:00,2025-04-07T17:56:00,1,American Airlines,American Airlines,False,0.534573,2.63
18467-2504081400--32695-0-10968-2504081634,economy,C$400,1031,YYZ,DFW,2025-04-08T14:00:00,2025-04-08T16:34:00,0,Air Canada,Air Canada,False,0.999,3.57
18467-2504081940--32695-0-10968-2504082214,economy,C$400,1033,YYZ,DFW,2025-04-08T19:40:00,2025-04-08T22:14:00,0,Air Canada,Air Canada,False,0.660621,3.57
18467-2504081400--31722-0-10968-2504081634,economy,C$398,8130,YYZ,DFW,2025-04-08T14:00:00,2025-04-08T16:34:00,0,United Airlines,Air Canada,False,0.499407,3.57
18467-2504080645--32573-0-10968-2504080929,economy,C$398,1169,YYZ,DFW,2025-04-08T06:45:00,2025-04-08T09:29:00,0,American Airlines,American Airlines,False,0.518993,3.73
18467-2504081329--32573-0-10968-2504081614,economy,C$398,3993,YYZ,DFW,2025-04-08T13:29:00,2025-04-08T16:14:00,0,American Airlines,Envoy Air,False,0.821462,3.75
18467-2504081329--32593-0-10968-2504081614,economy,C$405,4476,YYZ,DFW,2025-04-08T13:29:00,2025-04-08T16:14:00,0,Alaska Airlines,Envoy Air,False,0.471952,3.75
"18188-2504081235--31147,-31825-2-10968-2504082254",economy,C$157,611,ATL,DFW,2025-04-08T21:15:00,2025-04-08T22:54:00,2,Spirit Airlines,Spirit Airlines,False,0.611412,2.65
18467-2504080615--32385-1-10910-2504081105,premium_economy,C$581,2662,YYZ,ATL,2025-04-08T06:15:00,2025-04-08T08:44:00,1,Delta Air Lines,Delta Air Lines,False,0.573788,2.48
18467-2504080745--32385-1-10968-2504081243,premium_economy,C$581,2988,YYZ,ATL,2025-04-08T07:45:00,2025-04-08T10:08:00,1,Delta Air Lines,Delta Air Lines,False,0.562682,2.38
18467-2504080745--32385-1-10968-2504081243,premium_economy,C$581,414,ATL,DFW,2025-04-08T11:22:00,2025-04-08T12:43:00,1,Delta Air Lines,Delta Air Lines,False,0.562682,2.35
18467-2504081220--32385-1-10910-2504081751,premium_economy,C$581,2835,YYZ,ATL,2025-04-08T12:20:00,2025-04-08T14:37:00,1,Delta Air Lines,Delta Air Lines,False,0.529237,2.28
18467-2504081940--32695-0-10968-2504082214,business,C$831,1033,YYZ,DFW,2025-04-08T19:40:00,2025-04-08T22:14:00,0,Air Canada,Air Canada,False,0.417587,3.57
18467-2504081400--32695-0-10968-2504081634,business,"C$1,088",1031,YYZ,DFW,2025-04-08T14:00:00,2025-04-08T16:34:00,0,Air Canada,Air Canada,False,0.379567,3.57
18467-2504081720--32573-0-10968-2504082000,business,C$527,1111,YYZ,DFW,2025-04-08T17:20:00,2025-04-08T20:00:00,0,American Airlines,American Airlines,False,0.999,3.67
18467-2504080645--32573-0-10968-2504080929,business,C$649,1169,YYZ,DFW,2025-04-08T06:45:00,2025-04-08T09:29:00,0,American Airlines,American Airlines,False,0.667697,3.73
18467-2504081329--32573-0-10968-2504081614,business,C$788,3993,YYZ,DFW,2025-04-08T13:29:00,2025-04-08T16:14:00,0,American Airlines,Envoy Air,False,0.570526,3.75
18467-2504081100--32695-1-10968-2504081602,business,C$620,4408,YYZ,ORD,2025-04-08T11:00:00,2025-04-08T12:03:00,1,Air Canada,SkyWest Airlines,False,0.397982,2.05
18467-2504081100--32695-1-10968-2504081602,business,C$620,4854,ORD,DFW,2025-04-08T13:15:00,2025-04-08T16:02:00,1,Air Canada,United Airlines,False,0.397982,2.78
18467-2504081730--32695-1-10968-2504082250,business,C$853,4990,YYZ,ORD,2025-04-08T17:30:00,2025-04-08T18:30:00,1,Air Canada,United Airlines,False,0.313729,2.0
18467-2504081730--32695-1-10968-2504082250,business,C$853,5521,ORD,DFW,2025-04-08T19:59:00,2025-04-08T22:50:00,1,Air Canada,United Airlines,False,0.313729,2.85
